onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end
47.3299	10	clicks_high	2	473299	0	1	2
57.3995	10	clicks_mid	1	573995	0	1	2
67.4691	10	clicks_low	0	674691	0	1	2
77.5387	10	clicks_high	2	775387	1	1	2
87.6083	10	clicks_low	0	876083	1	1	2
97.6779	10	clicks_mid	1	976779	1	1	2
107.7475	10	clicks_high	2	1077475	2	1	2
117.8171	10	clicks_low	0	1178171	2	1	2
127.8867	10	clicks_mid	1	1278867	2	1	2
137.9563	10	clicks_high	2	1379563	3	1	2
148.0259	10	clicks_mid	1	1480259	3	1	2
158.0954	10	clicks_low	0	1580954	3	1	2
168.165	10	clicks_mid	1	1681650	4	1	2
178.2346	10	clicks_high	2	1782346	4	1	2
188.3042	10	clicks_low	0	1883042	4	1	2
198.3738	10	clicks_high	2	1983738	5	1	2
208.4434	10	clicks_low	0	2084434	5	1	2
218.513	10	clicks_mid	1	2185130	5	1	2
228.5826	10	clicks_low	0	2285826	6	1	2
238.6522	10	clicks_mid	1	2386522	6	1	2
248.7218	10	clicks_high	2	2487218	6	1	2
258.7914	10	clicks_low	0	2587914	7	1	2
268.861	10	clicks_high	2	2688610	7	1	2
278.9306	10	clicks_mid	1	2789306	7	1	2
289.0002	10	clicks_mid	1	2890002	8	1	2
299.0697	10	clicks_high	2	2990697	8	1	2
309.1393	10	clicks_low	0	3091393	8	1	2
319.2089	10	clicks_low	0	3192089	9	1	2
329.2785	10	clicks_mid	1	3292785	9	1	2
339.3481	10	clicks_high	2	3393481	9	1	2
349.4177	10	clicks_mid	1	3494177	10	1	2
359.4873	10	clicks_high	2	3594873	10	1	2
369.5569	10	clicks_low	0	3695569	10	1	2
379.6265	10	clicks_mid	1	3796265	11	1	2
389.6961	10	clicks_high	2	3896961	11	1	2
399.7443	10	clicks_low	0	3997443	11	1	2
409.8139	10	clicks_mid	1	4098139	12	1	2
419.8835	10	clicks_high	2	4198835	12	1	2
429.9531	10	clicks_low	0	4299531	12	1	2
440.0227	10	clicks_high	2	4400227	13	1	2
450.0923	10	clicks_low	0	4500923	13	1	2
460.1619	10	clicks_mid	1	4601619	13	1	2
470.2315	10	clicks_low	0	4702315	14	1	2
480.3011	10	clicks_mid	1	4803011	14	1	2
490.3707	10	clicks_high	2	4903707	14	1	2
500.4403	10	clicks_low	0	5004403	15	1	2
510.5098	10	clicks_high	2	5105098	15	1	2
520.5794	10	clicks_mid	1	5205794	15	1	2
530.6277	10	clicks_mid	1	5306277	16	1	2
540.6973	10	clicks_high	2	5406973	16	1	2
550.7669	10	clicks_low	0	5507669	16	1	2
560.8365	10	clicks_high	2	5608365	17	1	2
570.9061	10	clicks_low	0	5709061	17	1	2
580.9757	10	clicks_mid	1	5809757	17	1	2
591.0452	10	clicks_high	2	5910452	18	1	2
601.1148	10	clicks_low	0	6011148	18	1	2
611.1844	10	clicks_mid	1	6111844	18	1	2
621.254	10	clicks_high	2	6212540	19	1	2
631.3236	10	clicks_mid	1	6313236	19	1	2
641.3932	10	clicks_low	0	6413932	19	1	2
651.4628	10	clicks_low	0	6514628	20	1	2
661.5324	10	clicks_high	2	6615324	20	1	2
671.602	10	clicks_mid	1	6716020	20	1	2
681.6502	10	clicks_low	0	6816502	21	1	2
691.7198	10	clicks_mid	1	6917198	21	1	2
701.7894	10	clicks_high	2	7017894	21	1	2
711.859	10	clicks_high	2	7118590	22	1	2
721.9499	10	clicks_low	0	7219499	22	1	2
732.0195	10	clicks_mid	1	7320195	22	1	2
742.0891	10	clicks_low	0	7420891	23	1	2
752.1374	10	clicks_mid	1	7521374	23	1	2
762.2283	10	clicks_high	2	7622283	23	1	2
772.2979	10	clicks_mid	1	7722979	24	1	2
782.3675	10	clicks_high	2	7823675	24	1	2
792.4157	10	clicks_low	0	7924157	24	1	2
802.4853	10	clicks_high	2	8024853	25	1	2
812.5549	10	clicks_mid	1	8125549	25	1	2
822.6245	10	clicks_low	0	8226245	25	1	2
832.7154	10	clicks_high	2	8327154	26	1	2
842.7637	10	clicks_low	0	8427637	26	1	2
852.8333	10	clicks_mid	1	8528333	26	1	2
862.9029	10	clicks_high	2	8629029	27	1	2
872.9725	10	clicks_mid	1	8729725	27	1	2
883.0421	10	clicks_low	0	8830421	27	1	2
893.1116	10	clicks_mid	1	8931116	28	1	2
903.1812	10	clicks_low	0	9031812	28	1	2
913.2295	10	clicks_high	2	9132295	28	1	2
923.2991	10	clicks_low	0	9232991	29	1	2
933.3687	10	clicks_mid	1	9333687	29	1	2
943.4383	10	clicks_high	2	9434383	29	1	2
961.3801	10	male_low	3	9613801	15	1	2
971.4496	10	male_high	5	9714496	30	1	2
981.5192	10	female_high	8	9815192	117	1	2
991.5888	10	female_low	6	9915888	108	1	2
1001.6797	10	female_mid	7	10016797	31	1	2
1011.7493	10	male_mid	4	10117493	19	1	2
1021.8189	10	female_mid	7	10218189	79	1	2
1031.8885	10	male_high	5	10318885	82	1	2
1041.9581	10	female_high	8	10419581	61	1	2
1052.0277	10	male_mid	4	10520277	101	1	2
1062.0973	10	male_low	3	10620973	68	1	2
1072.1669	10	female_low	6	10721669	97	1	2
1082.2365	10	female_mid	7	10822365	48	1	2
1092.3061	10	male_mid	4	10923061	18	1	2
1102.3757	10	male_high	5	11023757	56	1	2
1112.4452	10	female_low	6	11124452	85	1	2
1122.5148	10	male_low	3	11225148	117	1	2
1132.5844	10	female_high	8	11325844	92	1	2
1142.654	10	female_high	8	11426540	56	1	2
1152.7449	10	male_high	5	11527449	111	1	2
1162.8145	10	female_mid	7	11628145	98	1	2
1172.8841	10	female_low	6	11728841	1	1	2
1182.9537	10	male_low	3	11829537	119	1	2
1193.0233	10	male_mid	4	11930233	26	1	2
1203.0929	10	male_low	3	12030929	7	1	2
1213.1625	10	male_high	5	12131625	64	1	2
1223.2321	10	male_mid	4	12232321	70	1	2
1233.3017	10	female_low	6	12333017	112	1	2
1243.3712	10	female_high	8	12433712	2	1	2
1253.4408	10	female_mid	7	12534408	17	1	2
1263.5104	10	female_high	8	12635104	79	1	2
1273.58	10	male_mid	4	12735800	75	1	2
1283.6709	10	male_high	5	12836709	8	1	2
1293.7405	10	female_low	6	12937405	89	1	2
1303.8101	10	female_mid	7	13038101	43	1	2
1313.8797	10	male_low	3	13138797	64	1	2
1323.9493	10	male_low	3	13239493	49	1	2
1334.0189	10	female_low	6	13340189	113	1	2
1344.0885	10	male_mid	4	13440885	84	1	2
1354.1581	10	male_high	5	13541581	101	1	2
1364.2277	10	female_mid	7	13642277	96	1	2
1374.3186	10	female_high	8	13743186	65	1	2
1384.3882	10	male_high	5	13843882	12	1	2
1394.4578	10	male_mid	4	13944578	54	1	2
1404.5274	10	female_low	6	14045274	105	1	2
1414.5969	10	male_low	3	14145969	3	1	2
1424.6665	10	female_mid	7	14246665	22	1	2
1434.7361	10	female_high	8	14347361	90	1	2
1444.8057	10	female_low	6	14448057	56	1	2
1454.8753	10	male_mid	4	14548753	113	1	2
1464.9449	10	male_low	3	14649449	79	1	2
1475.0145	10	female_mid	7	14750145	56	1	2
1485.0841	10	female_high	8	14850841	36	1	2
1495.1537	10	male_high	5	14951537	117	1	2
1505.2232	10	male_high	5	15052232	55	1	2
1515.2928	10	female_high	8	15152928	9	1	2
1525.3624	10	female_mid	7	15253624	101	1	2
1535.432	10	male_low	3	15354320	66	1	2
1545.5016	10	female_low	6	15455016	22	1	2
1555.5712	10	male_mid	4	15555712	5	1	2
1565.6408	10	female_mid	7	15656408	24	1	2
1575.7104	10	male_mid	4	15757104	110	1	2
1585.78	10	female_low	6	15857800	19	1	2
1595.8496	10	male_low	3	15958496	78	1	2
1605.9191	10	female_high	8	16059191	119	1	2
1615.9887	10	male_high	5	16159887	87	1	2
1626.0583	10	male_mid	4	16260583	47	1	2
1636.1492	10	male_low	3	16361492	23	1	2
1646.2188	10	male_high	5	16462188	18	1	2
1656.2884	10	female_mid	7	16562884	58	1	2
1666.358	10	female_high	8	16663580	69	1	2
1676.4276	10	female_low	6	16764276	8	1	2
1686.4972	10	female_mid	7	16864972	53	1	2
1696.5881	10	male_low	3	16965881	76	1	2
1706.6577	10	male_mid	4	17066577	51	1	2
1716.7273	10	female_high	8	17167273	19	1	2
1726.7969	10	male_high	5	17267969	43	1	2
1736.8665	10	female_low	6	17368665	104	1	2
1746.9361	10	female_low	6	17469361	51	1	2
1757.0056	10	male_low	3	17570056	103	1	2
1767.0752	10	male_high	5	17670752	75	1	2
1777.1448	10	female_high	8	17771448	54	1	2
1787.2144	10	female_mid	7	17872144	95	1	2
1797.284	10	male_mid	4	17972840	50	1	2
1807.3536	10	male_low	3	18073536	74	1	2
1817.4232	10	female_high	8	18174232	39	1	2
1827.4928	10	female_low	6	18274928	37	1	2
1837.5624	10	female_mid	7	18375624	37	1	2
1847.6319	10	male_mid	4	18476319	43	1	2
1857.7015	10	male_high	5	18577015	85	1	2
1867.7711	10	male_high	5	18677711	78	1	2
1877.8407	10	female_mid	7	18778407	38	1	2
1887.9103	10	male_mid	4	18879103	35	1	2
1898.0012	10	female_low	6	18980012	91	1	2
1908.0708	10	male_low	3	19080708	86	1	2
1918.1404	10	female_high	8	19181404	74	1	2
1928.2313	10	female_high	8	19282313	8	1	2
1938.3009	10	male_high	5	19383009	61	1	2
1948.3705	10	female_mid	7	19483705	20	1	2
1958.4401	10	female_low	6	19584401	81	1	2
1968.5097	10	male_low	3	19685097	42	1	2
1978.5793	10	male_mid	4	19785793	112	1	2
1988.6489	10	male_high	5	19886489	58	1	2
1998.7184	10	female_low	6	19987184	39	1	2
2008.788	10	male_low	3	20087880	19	1	2
2018.8576	10	female_high	8	20188576	95	1	2
2028.9272	10	male_mid	4	20289272	105	1	2
