onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
278.6275	10	clicks_low	0	2786275	0	1	2	clicks_low/clicks_low_000_regress.hdf5
308.0043	10	clicks_mid	1	3080043	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
318.0525	10	clicks_high	2	3180525	0	1	2	clicks_high/clicks_high_000_regress.hdf5
328.1221	10	clicks_high	2	3281221	1	1	2	clicks_high/clicks_high_001_regress.hdf5
338.1917	10	clicks_mid	1	3381917	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
348.2613	10	clicks_low	0	3482613	1	1	2	clicks_low/clicks_low_001_regress.hdf5
358.3096	10	clicks_mid	1	3583096	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
368.3791	10	clicks_low	0	3683791	2	1	2	clicks_low/clicks_low_002_regress.hdf5
378.4487	10	clicks_high	2	3784487	2	1	2	clicks_high/clicks_high_002_regress.hdf5
388.5183	10	clicks_mid	1	3885183	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
398.5879	10	clicks_low	0	3985879	3	1	2	clicks_low/clicks_low_003_regress.hdf5
408.6362	10	clicks_high	2	4086362	3	1	2	clicks_high/clicks_high_003_regress.hdf5
418.7057	10	clicks_high	2	4187057	4	1	2	clicks_high/clicks_high_004_regress.hdf5
428.7753	10	clicks_mid	1	4287753	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
438.8449	10	clicks_low	0	4388449	4	1	2	clicks_low/clicks_low_004_regress.hdf5
448.9145	10	clicks_high	2	4489145	5	1	2	clicks_high/clicks_high_005_regress.hdf5
458.9841	10	clicks_mid	1	4589841	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
469.0537	10	clicks_low	0	4690537	5	1	2	clicks_low/clicks_low_005_regress.hdf5
479.1446	10	clicks_low	0	4791446	6	1	2	clicks_low/clicks_low_006_regress.hdf5
489.2142	10	clicks_high	2	4892142	6	1	2	clicks_high/clicks_high_006_regress.hdf5
499.2625	10	clicks_mid	1	4992625	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
509.332	10	clicks_low	0	5093320	7	1	2	clicks_low/clicks_low_007_regress.hdf5
519.4016	10	clicks_mid	1	5194016	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
529.4712	10	clicks_high	2	5294712	7	1	2	clicks_high/clicks_high_007_regress.hdf5
539.5408	10	clicks_high	2	5395408	8	1	2	clicks_high/clicks_high_008_regress.hdf5
549.6104	10	clicks_low	0	5496104	8	1	2	clicks_low/clicks_low_008_regress.hdf5
559.68	10	clicks_mid	1	5596800	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
569.7496	10	clicks_low	0	5697496	9	1	2	clicks_low/clicks_low_009_regress.hdf5
579.8192	10	clicks_mid	1	5798192	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
589.8887	10	clicks_high	2	5898887	9	1	2	clicks_high/clicks_high_009_regress.hdf5
599.9583	10	clicks_low	0	5999583	10	1	2	clicks_low/clicks_low_010_regress.hdf5
610.0279	10	clicks_high	2	6100279	10	1	2	clicks_high/clicks_high_010_regress.hdf5
620.0975	10	clicks_mid	1	6200975	10	1	2	clicks_mid/clicks_mid_010_regress.hdf5
630.1671	10	clicks_low	0	6301671	11	1	2	clicks_low/clicks_low_011_regress.hdf5
640.2367	10	clicks_high	2	6402367	11	1	2	clicks_high/clicks_high_011_regress.hdf5
650.2849	10	clicks_mid	1	6502849	11	1	2	clicks_mid/clicks_mid_011_regress.hdf5
660.3545	10	clicks_high	2	6603545	12	1	2	clicks_high/clicks_high_012_regress.hdf5
670.4241	10	clicks_low	0	6704241	12	1	2	clicks_low/clicks_low_012_regress.hdf5
680.515	10	clicks_mid	1	6805150	12	1	2	clicks_mid/clicks_mid_012_regress.hdf5
690.5633	10	clicks_low	0	6905633	13	1	2	clicks_low/clicks_low_013_regress.hdf5
700.6329	10	clicks_high	2	7006329	13	1	2	clicks_high/clicks_high_013_regress.hdf5
