onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
149.3056	10	clicks_low	0	1493056	0	1	2	clicks_low/clicks_low_000_regress.hdf5
159.3752	10	clicks_high	2	1593752	0	1	2	clicks_high/clicks_high_000_regress.hdf5
169.4448	10	clicks_mid	1	1694448	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
179.5144	10	clicks_low	0	1795144	1	1	2	clicks_low/clicks_low_001_regress.hdf5
189.5627	10	clicks_high	2	1895627	1	1	2	clicks_high/clicks_high_001_regress.hdf5
199.6323	10	clicks_mid	1	1996323	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
209.7019	10	clicks_high	2	2097019	2	1	2	clicks_high/clicks_high_002_regress.hdf5
219.7715	10	clicks_low	0	2197715	2	1	2	clicks_low/clicks_low_002_regress.hdf5
229.8624	10	clicks_mid	1	2298624	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
239.932	10	clicks_high	2	2399320	3	1	2	clicks_high/clicks_high_003_regress.hdf5
250.0016	10	clicks_mid	1	2500016	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
260.0712	10	clicks_low	0	2600712	3	1	2	clicks_low/clicks_low_003_regress.hdf5
270.1408	10	clicks_high	2	2701408	4	1	2	clicks_high/clicks_high_004_regress.hdf5
280.2104	10	clicks_mid	1	2802104	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
290.28	10	clicks_low	0	2902800	4	1	2	clicks_low/clicks_low_004_regress.hdf5
300.3496	10	clicks_low	0	3003496	5	1	2	clicks_low/clicks_low_005_regress.hdf5
310.4192	10	clicks_mid	1	3104192	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
320.4888	10	clicks_high	2	3204888	5	1	2	clicks_high/clicks_high_005_regress.hdf5
330.5584	10	clicks_mid	1	3305584	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
340.628	10	clicks_low	0	3406280	6	1	2	clicks_low/clicks_low_006_regress.hdf5
350.6975	10	clicks_high	2	3506975	6	1	2	clicks_high/clicks_high_006_regress.hdf5
360.7458	10	clicks_low	0	3607458	7	1	2	clicks_low/clicks_low_007_regress.hdf5
370.8154	10	clicks_mid	1	3708154	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
380.885	10	clicks_high	2	3808850	7	1	2	clicks_high/clicks_high_007_regress.hdf5
390.9546	10	clicks_low	0	3909546	8	1	2	clicks_low/clicks_low_008_regress.hdf5
401.0242	10	clicks_high	2	4010242	8	1	2	clicks_high/clicks_high_008_regress.hdf5
411.0938	10	clicks_mid	1	4110938	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
421.142	10	clicks_low	0	4211420	9	1	2	clicks_low/clicks_low_009_regress.hdf5
431.2116	10	clicks_mid	1	4312116	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
441.2812	10	clicks_high	2	4412812	9	1	2	clicks_high/clicks_high_009_regress.hdf5
451.3508	10	clicks_low	0	4513508	10	1	2	clicks_low/clicks_low_010_regress.hdf5
461.4204	10	clicks_high	2	4614204	10	1	2	clicks_high/clicks_high_010_regress.hdf5
471.49	10	clicks_mid	1	4714900	10	1	2	clicks_mid/clicks_mid_010_regress.hdf5
481.5596	10	clicks_mid	1	4815596	11	1	2	clicks_mid/clicks_mid_011_regress.hdf5
491.6292	10	clicks_high	2	4916292	11	1	2	clicks_high/clicks_high_011_regress.hdf5
501.6988	10	clicks_low	0	5016988	11	1	2	clicks_low/clicks_low_011_regress.hdf5
511.7684	10	clicks_low	0	5117684	12	1	2	clicks_low/clicks_low_012_regress.hdf5
521.838	10	clicks_mid	1	5218380	12	1	2	clicks_mid/clicks_mid_012_regress.hdf5
531.9076	10	clicks_high	2	5319076	12	1	2	clicks_high/clicks_high_012_regress.hdf5
541.9772	10	clicks_low	0	5419772	13	1	2	clicks_low/clicks_low_013_regress.hdf5
552.0468	10	clicks_high	2	5520468	13	1	2	clicks_high/clicks_high_013_regress.hdf5
562.1164	10	clicks_mid	1	5621164	13	1	2	clicks_mid/clicks_mid_013_regress.hdf5
572.1859	10	clicks_mid	1	5721859	14	1	2	clicks_mid/clicks_mid_014_regress.hdf5
582.2769	10	clicks_low	0	5822769	14	1	2	clicks_low/clicks_low_014_regress.hdf5
592.3251	10	clicks_high	2	5923251	14	1	2	clicks_high/clicks_high_014_regress.hdf5
