onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end
34.844	10	clicks_low	0	348440	0	1	2
44.9136	10	clicks_high	2	449136	0	1	2
54.9832	10	clicks_mid	1	549832	0	1	2
65.0528	10	clicks_low	0	650528	1	1	2
75.1223	10	clicks_mid	1	751223	1	1	2
85.1919	10	clicks_high	2	851919	1	1	2
95.2402	10	clicks_mid	1	952402	2	1	2
105.3098	10	clicks_high	2	1053098	2	1	2
115.3794	10	clicks_low	0	1153794	2	1	2
125.449	10	clicks_low	0	1254490	3	1	2
135.5186	10	clicks_high	2	1355186	3	1	2
145.6095	10	clicks_mid	1	1456095	3	1	2
155.6791	10	clicks_low	0	1556791	4	1	2
165.7487	10	clicks_high	2	1657487	4	1	2
175.8182	10	clicks_mid	1	1758182	4	1	2
185.8878	10	clicks_high	2	1858878	5	1	2
195.9574	10	clicks_low	0	1959574	5	1	2
206.027	10	clicks_mid	1	2060270	5	1	2
216.0966	10	clicks_mid	1	2160966	6	1	2
226.1662	10	clicks_low	0	2261662	6	1	2
236.2358	10	clicks_high	2	2362358	6	1	2
246.3054	10	clicks_mid	1	2463054	7	1	2
256.3536	10	clicks_low	0	2563536	7	1	2
266.4232	10	clicks_high	2	2664232	7	1	2
276.4928	10	clicks_high	2	2764928	8	1	2
286.5624	10	clicks_low	0	2865624	8	1	2
296.632	10	clicks_mid	1	2966320	8	1	2
306.7016	10	clicks_high	2	3067016	9	1	2
316.7498	10	clicks_low	0	3167498	9	1	2
326.8194	10	clicks_mid	1	3268194	9	1	2
336.889	10	clicks_low	0	3368890	10	1	2
346.9586	10	clicks_high	2	3469586	10	1	2
357.0282	10	clicks_mid	1	3570282	10	1	2
367.0978	10	clicks_low	0	3670978	11	1	2
377.1674	10	clicks_high	2	3771674	11	1	2
387.2156	10	clicks_mid	1	3872156	11	1	2
397.2852	10	clicks_low	0	3972852	12	1	2
407.3761	10	clicks_high	2	4073761	12	1	2
417.4457	10	clicks_mid	1	4174457	12	1	2
427.5153	10	clicks_mid	1	4275153	13	1	2
437.5636	10	clicks_low	0	4375636	13	1	2
447.6545	10	clicks_high	2	4476545	13	1	2
457.7241	10	clicks_high	2	4577241	14	1	2
467.7723	10	clicks_low	0	4677723	14	1	2
477.8419	10	clicks_mid	1	4778419	14	1	2
487.9115	10	clicks_mid	1	4879115	15	1	2
497.9811	10	clicks_high	2	4979811	15	1	2
508.0507	10	clicks_low	0	5080507	15	1	2
518.1203	10	clicks_high	2	5181203	16	1	2
528.1899	10	clicks_mid	1	5281899	16	1	2
538.2595	10	clicks_low	0	5382595	16	1	2
548.3291	10	clicks_high	2	5483291	17	1	2
558.3986	10	clicks_low	0	5583986	17	1	2
568.4682	10	clicks_mid	1	5684682	17	1	2
578.5165	10	clicks_low	0	5785165	18	1	2
588.5861	10	clicks_high	2	5885861	18	1	2
