onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
238.7712	10	clicks_mid	1	2387712	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
248.8408	10	clicks_high	2	2488408	0	1	2	clicks_high/clicks_high_000_regress.hdf5
258.9103	10	clicks_low	0	2589103	0	1	2	clicks_low/clicks_low_000_regress.hdf5
268.9799	10	clicks_high	2	2689799	1	1	2	clicks_high/clicks_high_001_regress.hdf5
279.0495	10	clicks_mid	1	2790495	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
289.0978	10	clicks_low	0	2890978	1	1	2	clicks_low/clicks_low_001_regress.hdf5
299.1674	10	clicks_mid	1	2991674	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
309.237	10	clicks_high	2	3092370	2	1	2	clicks_high/clicks_high_002_regress.hdf5
319.3066	10	clicks_low	0	3193066	2	1	2	clicks_low/clicks_low_002_regress.hdf5
329.3761	10	clicks_mid	1	3293761	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
339.4244	10	clicks_low	0	3394244	3	1	2	clicks_low/clicks_low_003_regress.hdf5
349.5153	10	clicks_high	2	3495153	3	1	2	clicks_high/clicks_high_003_regress.hdf5
359.5636	10	clicks_high	2	3595636	4	1	2	clicks_high/clicks_high_004_regress.hdf5
369.6332	10	clicks_mid	1	3696332	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
379.7028	10	clicks_low	0	3797028	4	1	2	clicks_low/clicks_low_004_regress.hdf5
389.7724	10	clicks_high	2	3897724	5	1	2	clicks_high/clicks_high_005_regress.hdf5
399.8419	10	clicks_low	0	3998419	5	1	2	clicks_low/clicks_low_005_regress.hdf5
409.9115	10	clicks_mid	1	4099115	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
419.9811	10	clicks_mid	1	4199811	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
430.0507	10	clicks_high	2	4300507	6	1	2	clicks_high/clicks_high_006_regress.hdf5
440.1203	10	clicks_low	0	4401203	6	1	2	clicks_low/clicks_low_006_regress.hdf5
450.1899	10	clicks_low	0	4501899	7	1	2	clicks_low/clicks_low_007_regress.hdf5
460.2595	10	clicks_high	2	4602595	7	1	2	clicks_high/clicks_high_007_regress.hdf5
470.3291	10	clicks_mid	1	4703291	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
480.3987	10	clicks_mid	1	4803987	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
490.4683	10	clicks_low	0	4904683	8	1	2	clicks_low/clicks_low_008_regress.hdf5
500.5379	10	clicks_high	2	5005379	8	1	2	clicks_high/clicks_high_008_regress.hdf5
510.6074	10	clicks_high	2	5106074	9	1	2	clicks_high/clicks_high_009_regress.hdf5
520.6557	10	clicks_mid	1	5206557	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
