onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
9.5993	10	clicks_high	2	95993	0	1	2	clicks_high/clicks_high_000_regress.hdf5
19.6476	10	clicks_mid	1	196476	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
29.7172	10	clicks_low	0	297172	0	1	2	clicks_low/clicks_low_000_regress.hdf5
39.7868	10	clicks_low	0	397868	1	1	2	clicks_low/clicks_low_001_regress.hdf5
49.8564	10	clicks_mid	1	498564	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
59.926	10	clicks_high	2	599260	1	1	2	clicks_high/clicks_high_001_regress.hdf5
69.9956	10	clicks_mid	1	699956	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
80.0652	10	clicks_low	0	800652	2	1	2	clicks_low/clicks_low_002_regress.hdf5
90.1348	10	clicks_high	2	901348	2	1	2	clicks_high/clicks_high_002_regress.hdf5
100.2043	10	clicks_mid	1	1002043	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
110.2739	10	clicks_high	2	1102739	3	1	2	clicks_high/clicks_high_003_regress.hdf5
120.3222	10	clicks_low	0	1203222	3	1	2	clicks_low/clicks_low_003_regress.hdf5
130.3918	10	clicks_low	0	1303918	4	1	2	clicks_low/clicks_low_004_regress.hdf5
140.4614	10	clicks_high	2	1404614	4	1	2	clicks_high/clicks_high_004_regress.hdf5
150.531	10	clicks_mid	1	1505310	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
160.6006	10	clicks_mid	1	1606006	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
170.6702	10	clicks_high	2	1706702	5	1	2	clicks_high/clicks_high_005_regress.hdf5
180.7398	10	clicks_low	0	1807398	5	1	2	clicks_low/clicks_low_005_regress.hdf5
190.788	10	clicks_high	2	1907880	6	1	2	clicks_high/clicks_high_006_regress.hdf5
200.8576	10	clicks_mid	1	2008576	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
210.9272	10	clicks_low	0	2109272	6	1	2	clicks_low/clicks_low_006_regress.hdf5
220.9968	10	clicks_high	2	2209968	7	1	2	clicks_high/clicks_high_007_regress.hdf5
231.0664	10	clicks_mid	1	2310664	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
241.136	10	clicks_low	0	2411360	7	1	2	clicks_low/clicks_low_007_regress.hdf5
251.1842	10	clicks_high	2	2511842	8	1	2	clicks_high/clicks_high_008_regress.hdf5
261.2538	10	clicks_low	0	2612538	8	1	2	clicks_low/clicks_low_008_regress.hdf5
271.3234	10	clicks_mid	1	2713234	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
281.393	10	clicks_low	0	2813930	9	1	2	clicks_low/clicks_low_009_regress.hdf5
291.4626	10	clicks_mid	1	2914626	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
301.5322	10	clicks_high	2	3015322	9	1	2	clicks_high/clicks_high_009_regress.hdf5
311.5805	10	clicks_high	2	3115805	10	1	2	clicks_high/clicks_high_010_regress.hdf5
321.65	10	clicks_mid	1	3216500	10	1	2	clicks_mid/clicks_mid_010_regress.hdf5
331.7196	10	clicks_low	0	3317196	10	1	2	clicks_low/clicks_low_010_regress.hdf5
341.7892	10	clicks_high	2	3417892	11	1	2	clicks_high/clicks_high_011_regress.hdf5
351.8588	10	clicks_mid	1	3518588	11	1	2	clicks_mid/clicks_mid_011_regress.hdf5
361.9284	10	clicks_low	0	3619284	11	1	2	clicks_low/clicks_low_011_regress.hdf5
371.998	10	clicks_mid	1	3719980	12	1	2	clicks_mid/clicks_mid_012_regress.hdf5
382.0463	10	clicks_low	0	3820463	12	1	2	clicks_low/clicks_low_012_regress.hdf5
392.1159	10	clicks_high	2	3921159	12	1	2	clicks_high/clicks_high_012_regress.hdf5
402.1854	10	clicks_high	2	4021854	13	1	2	clicks_high/clicks_high_013_regress.hdf5
412.255	10	clicks_low	0	4122550	13	1	2	clicks_low/clicks_low_013_regress.hdf5
422.3246	10	clicks_mid	1	4223246	13	1	2	clicks_mid/clicks_mid_013_regress.hdf5
432.3942	10	clicks_mid	1	4323942	14	1	2	clicks_mid/clicks_mid_014_regress.hdf5
442.4638	10	clicks_low	0	4424638	14	1	2	clicks_low/clicks_low_014_regress.hdf5
452.5334	10	clicks_high	2	4525334	14	1	2	clicks_high/clicks_high_014_regress.hdf5
462.603	10	clicks_high	2	4626030	15	1	2	clicks_high/clicks_high_015_regress.hdf5
472.6726	10	clicks_low	0	4726726	15	1	2	clicks_low/clicks_low_015_regress.hdf5
482.7422	10	clicks_mid	1	4827422	15	1	2	clicks_mid/clicks_mid_015_regress.hdf5
492.8118	10	clicks_high	2	4928118	16	1	2	clicks_high/clicks_high_016_regress.hdf5
502.8814	10	clicks_low	0	5028814	16	1	2	clicks_low/clicks_low_016_regress.hdf5
512.9296	10	clicks_mid	1	5129296	16	1	2	clicks_mid/clicks_mid_016_regress.hdf5
522.9992	10	clicks_mid	1	5229992	17	1	2	clicks_mid/clicks_mid_017_regress.hdf5
533.0688	10	clicks_low	0	5330688	17	1	2	clicks_low/clicks_low_017_regress.hdf5
543.1384	10	clicks_high	2	5431384	17	1	2	clicks_high/clicks_high_017_regress.hdf5
553.208	10	clicks_mid	1	5532080	18	1	2	clicks_mid/clicks_mid_018_regress.hdf5
563.2776	10	clicks_high	2	5632776	18	1	2	clicks_high/clicks_high_018_regress.hdf5
573.3258	10	clicks_low	0	5733258	18	1	2	clicks_low/clicks_low_018_regress.hdf5
583.3954	10	clicks_high	2	5833954	19	1	2	clicks_high/clicks_high_019_regress.hdf5
593.465	10	clicks_mid	1	5934650	19	1	2	clicks_mid/clicks_mid_019_regress.hdf5
603.5346	10	clicks_low	0	6035346	19	1	2	clicks_low/clicks_low_019_regress.hdf5
613.6042	10	clicks_low	0	6136042	20	1	2	clicks_low/clicks_low_020_regress.hdf5
623.6738	10	clicks_mid	1	6236738	20	1	2	clicks_mid/clicks_mid_020_regress.hdf5
633.7434	10	clicks_high	2	6337434	20	1	2	clicks_high/clicks_high_020_regress.hdf5
643.813	10	clicks_low	0	6438130	21	1	2	clicks_low/clicks_low_021_regress.hdf5
653.8826	10	clicks_high	2	6538826	21	1	2	clicks_high/clicks_high_021_regress.hdf5
663.9522	10	clicks_mid	1	6639522	21	1	2	clicks_mid/clicks_mid_021_regress.hdf5
674.0004	10	clicks_high	2	6740004	22	1	2	clicks_high/clicks_high_022_regress.hdf5
684.0913	10	clicks_low	0	6840913	22	1	2	clicks_low/clicks_low_022_regress.hdf5
694.1609	10	clicks_mid	1	6941609	22	1	2	clicks_mid/clicks_mid_022_regress.hdf5
704.2305	10	clicks_high	2	7042305	23	1	2	clicks_high/clicks_high_023_regress.hdf5
714.3001	10	clicks_low	0	7143001	23	1	2	clicks_low/clicks_low_023_regress.hdf5
724.3484	10	clicks_mid	1	7243484	23	1	2	clicks_mid/clicks_mid_023_regress.hdf5
734.418	10	clicks_low	0	7344180	24	1	2	clicks_low/clicks_low_024_regress.hdf5
744.4875	10	clicks_high	2	7444875	24	1	2	clicks_high/clicks_high_024_regress.hdf5
754.5571	10	clicks_mid	1	7545571	24	1	2	clicks_mid/clicks_mid_024_regress.hdf5
764.6267	10	clicks_mid	1	7646267	25	1	2	clicks_mid/clicks_mid_025_regress.hdf5
774.6963	10	clicks_high	2	7746963	25	1	2	clicks_high/clicks_high_025_regress.hdf5
784.7446	10	clicks_low	0	7847446	25	1	2	clicks_low/clicks_low_025_regress.hdf5
794.8355	10	clicks_mid	1	7948355	26	1	2	clicks_mid/clicks_mid_026_regress.hdf5
804.9051	10	clicks_high	2	8049051	26	1	2	clicks_high/clicks_high_026_regress.hdf5
814.9747	10	clicks_low	0	8149747	26	1	2	clicks_low/clicks_low_026_regress.hdf5
825.0443	10	clicks_high	2	8250443	27	1	2	clicks_high/clicks_high_027_regress.hdf5
835.1139	10	clicks_mid	1	8351139	27	1	2	clicks_mid/clicks_mid_027_regress.hdf5
845.1835	10	clicks_low	0	8451835	27	1	2	clicks_low/clicks_low_027_regress.hdf5
855.2317	10	clicks_low	0	8552317	28	1	2	clicks_low/clicks_low_028_regress.hdf5
865.3013	10	clicks_high	2	8653013	28	1	2	clicks_high/clicks_high_028_regress.hdf5
875.3709	10	clicks_mid	1	8753709	28	1	2	clicks_mid/clicks_mid_028_regress.hdf5
885.4405	10	clicks_high	2	8854405	29	1	2	clicks_high/clicks_high_029_regress.hdf5
895.5101	10	clicks_low	0	8955101	29	1	2	clicks_low/clicks_low_029_regress.hdf5
