onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end
119.7602	10	clicks_high	2	1197602	0	1	2
129.8298	10	clicks_low	0	1298298	0	1	2
139.8993	10	clicks_mid	1	1398993	0	1	2
149.9689	10	clicks_mid	1	1499689	1	1	2
160.0385	10	clicks_high	2	1600385	1	1	2
170.1081	10	clicks_low	0	1701081	1	1	2
180.1777	10	clicks_high	2	1801777	2	1	2
190.2473	10	clicks_low	0	1902473	2	1	2
200.3169	10	clicks_mid	1	2003169	2	1	2
210.3652	10	clicks_mid	1	2103652	3	1	2
220.4347	10	clicks_low	0	2204347	3	1	2
230.5257	10	clicks_high	2	2305257	3	1	2
240.5953	10	clicks_low	0	2405953	4	1	2
250.6435	10	clicks_high	2	2506435	4	1	2
260.7131	10	clicks_mid	1	2607131	4	1	2
270.7827	10	clicks_low	0	2707827	5	1	2
280.8523	10	clicks_high	2	2808523	5	1	2
290.9219	10	clicks_mid	1	2909219	5	1	2
300.9915	10	clicks_mid	1	3009915	6	1	2
311.0611	10	clicks_low	0	3110611	6	1	2
321.1093	10	clicks_high	2	3211093	6	1	2
331.1789	10	clicks_high	2	3311789	7	1	2
341.2485	10	clicks_mid	1	3412485	7	1	2
351.3181	10	clicks_low	0	3513181	7	1	2
361.3877	10	clicks_mid	1	3613877	8	1	2
371.4573	10	clicks_low	0	3714573	8	1	2
381.5269	10	clicks_high	2	3815269	8	1	2
391.5965	10	clicks_low	0	3915965	9	1	2
401.666	10	clicks_high	2	4016660	9	1	2
411.7356	10	clicks_mid	1	4117356	9	1	2
421.8052	10	clicks_low	0	4218052	10	1	2
431.8748	10	clicks_mid	1	4318748	10	1	2
441.9444	10	clicks_high	2	4419444	10	1	2
452.014	10	clicks_mid	1	4520140	11	1	2
462.0836	10	clicks_low	0	4620836	11	1	2
472.1318	10	clicks_high	2	4721318	11	1	2
482.2014	10	clicks_low	0	4822014	12	1	2
492.271	10	clicks_high	2	4922710	12	1	2
502.3406	10	clicks_mid	1	5023406	12	1	2
512.4102	10	clicks_low	0	5124102	13	1	2
522.4798	10	clicks_high	2	5224798	13	1	2
532.5494	10	clicks_mid	1	5325494	13	1	2
542.5976	10	clicks_mid	1	5425976	14	1	2
552.6672	10	clicks_low	0	5526672	14	1	2
562.7368	10	clicks_high	2	5627368	14	1	2
572.8064	10	clicks_high	2	5728064	15	1	2
582.876	10	clicks_mid	1	5828760	15	1	2
592.9456	10	clicks_low	0	5929456	15	1	2
603.0152	10	clicks_mid	1	6030152	16	1	2
613.0848	10	clicks_low	0	6130848	16	1	2
623.133	10	clicks_high	2	6231330	16	1	2
633.2026	10	clicks_mid	1	6332026	17	1	2
643.2722	10	clicks_low	0	6432722	17	1	2
653.3418	10	clicks_high	2	6533418	17	1	2
663.39	10	clicks_high	2	6633900	18	1	2
673.4596	10	clicks_mid	1	6734596	18	1	2
683.5292	10	clicks_low	0	6835292	18	1	2
693.5988	10	clicks_low	0	6935988	19	1	2
703.6471	10	clicks_mid	1	7036471	19	1	2
713.7167	10	clicks_high	2	7137167	19	1	2
723.7862	10	clicks_high	2	7237862	20	1	2
733.8558	10	clicks_mid	1	7338558	20	1	2
743.9254	10	clicks_low	0	7439254	20	1	2
753.995	10	clicks_mid	1	7539950	21	1	2
764.0646	10	clicks_high	2	7640646	21	1	2
774.1342	10	clicks_low	0	7741342	21	1	2
784.2038	10	clicks_high	2	7842038	22	1	2
794.2734	10	clicks_low	0	7942734	22	1	2
804.343	10	clicks_mid	1	8043430	22	1	2
814.4125	10	clicks_low	0	8144125	23	1	2
824.4821	10	clicks_mid	1	8244821	23	1	2
834.5517	10	clicks_high	2	8345517	23	1	2
844.6213	10	clicks_mid	1	8446213	24	1	2
854.6909	10	clicks_high	2	8546909	24	1	2
864.7605	10	clicks_low	0	8647605	24	1	2
874.8301	10	clicks_low	0	8748301	25	1	2
884.8997	10	clicks_mid	1	8848997	25	1	2
894.9693	10	clicks_high	2	8949693	25	1	2
905.0388	10	clicks_high	2	9050388	26	1	2
915.1084	10	clicks_low	0	9151084	26	1	2
925.1567	10	clicks_mid	1	9251567	26	1	2
935.2263	10	clicks_high	2	9352263	27	1	2
945.2959	10	clicks_mid	1	9452959	27	1	2
955.3655	10	clicks_low	0	9553655	27	1	2
965.435	10	clicks_low	0	9654350	28	1	2
975.5046	10	clicks_high	2	9755046	28	1	2
985.5742	10	clicks_mid	1	9855742	28	1	2
995.6438	10	clicks_high	2	9956438	29	1	2
1005.7134	10	clicks_mid	1	10057134	29	1	2
1015.783	10	clicks_low	0	10157830	29	1	2
1034.8555	10	male_high	5	10348555	48	1	2
1044.9251	10	female_low	6	10449251	38	1	2
1054.9947	10	female_high	8	10549947	0	1	2
1065.0429	10	male_low	3	10650429	102	1	2
1075.1125	10	female_mid	7	10751125	102	1	2
1085.2034	10	male_mid	4	10852034	6	1	2
1095.2517	10	male_high	5	10952517	62	1	2
1105.3213	10	male_mid	4	11053213	102	1	2
1115.4122	10	male_low	3	11154122	111	1	2
1125.4604	10	female_mid	7	11254604	51	1	2
1135.53	10	female_high	8	11355300	30	1	2
1145.5996	10	female_low	6	11455996	116	1	2
1155.6692	10	male_low	3	11556692	40	1	2
1165.7388	10	male_high	5	11657388	112	1	2
1175.8084	10	female_low	6	11758084	22	1	2
1185.878	10	male_mid	4	11858780	106	1	2
1195.9476	10	female_high	8	11959476	31	1	2
1206.0171	10	female_mid	7	12060171	106	1	2
1216.0867	10	male_low	3	12160867	12	1	2
1226.1563	10	female_high	8	12261563	92	1	2
1236.2046	10	female_mid	7	12362046	17	1	2
1246.2742	10	male_mid	4	12462742	29	1	2
1256.3438	10	female_low	6	12563438	61	1	2
1266.4133	10	male_high	5	12664133	20	1	2
1276.4829	10	female_low	6	12764829	88	1	2
1286.5525	10	male_low	3	12865525	8	1	2
1296.6221	10	female_mid	7	12966221	26	1	2
1306.6917	10	female_high	8	13066917	1	1	2
1316.7613	10	male_mid	4	13167613	115	1	2
1326.8309	10	male_high	5	13268309	61	1	2
1336.9005	10	female_mid	7	13369005	63	1	2
1346.97	10	male_low	3	13469700	84	1	2
1357.0396	10	male_high	5	13570396	55	1	2
1367.1092	10	female_low	6	13671092	67	1	2
1377.1788	10	female_high	8	13771788	117	1	2
1387.2484	10	male_mid	4	13872484	31	1	2
1397.318	10	male_low	3	13973180	103	1	2
1407.3876	10	male_mid	4	14073876	50	1	2
1417.4572	10	female_mid	7	14174572	110	1	2
1427.5268	10	male_high	5	14275268	11	1	2
1437.5963	10	female_low	6	14375963	6	1	2
1447.6659	10	female_high	8	14476659	74	1	2
1457.7355	10	male_low	3	14577355	94	1	2
1467.8051	10	male_mid	4	14678051	85	1	2
1477.8747	10	male_high	5	14778747	1	1	2
1487.9656	10	female_low	6	14879656	25	1	2
1498.0352	10	female_high	8	14980352	77	1	2
1508.1048	10	female_mid	7	15081048	83	1	2
1518.1744	10	male_mid	4	15181744	56	1	2
1528.244	10	female_mid	7	15282440	28	1	2
1538.3136	10	male_low	3	15383136	70	1	2
1548.3831	10	male_high	5	15483831	36	1	2
1558.4527	10	female_low	6	15584527	117	1	2
1568.5223	10	female_high	8	15685223	55	1	2
1578.5919	10	female_mid	7	15785919	47	1	2
1588.6615	10	male_high	5	15886615	24	1	2
1598.7311	10	male_low	3	15987311	17	1	2
1608.8007	10	female_high	8	16088007	29	1	2
1618.8489	10	male_mid	4	16188489	80	1	2
1628.9398	10	female_low	6	16289398	91	1	2
1639.0094	10	male_mid	4	16390094	32	1	2
1649.079	10	female_high	8	16490790	104	1	2
1659.1486	10	female_mid	7	16591486	113	1	2
1669.2182	10	male_low	3	16692182	54	1	2
1679.2878	10	female_low	6	16792878	27	1	2
1689.3574	10	male_high	5	16893574	50	1	2
1699.427	10	female_high	8	16994270	86	1	2
1709.4965	10	male_high	5	17094965	73	1	2
1719.5661	10	female_low	6	17195661	28	1	2
1729.6357	10	female_mid	7	17296357	14	1	2
1739.7053	10	male_mid	4	17397053	97	1	2
1749.7749	10	male_low	3	17497749	27	1	2
1759.8445	10	male_mid	4	17598445	35	1	2
1769.9141	10	female_low	6	17699141	110	1	2
1779.9837	10	female_high	8	17799837	18	1	2
1790.0532	10	male_high	5	17900532	68	1	2
1800.1442	10	male_low	3	18001442	26	1	2
1810.2138	10	female_mid	7	18102138	59	1	2
1820.262	10	male_low	3	18202620	101	1	2
1830.3316	10	female_mid	7	18303316	25	1	2
1840.4012	10	female_low	6	18404012	75	1	2
1850.4708	10	male_mid	4	18504708	58	1	2
1860.5404	10	female_high	8	18605404	46	1	2
1870.6099	10	male_high	5	18706099	37	1	2
1880.6795	10	female_high	8	18806795	70	1	2
1890.7491	10	male_high	5	18907491	40	1	2
1900.8187	10	male_mid	4	19008187	11	1	2
1910.8883	10	male_low	3	19108883	57	1	2
1920.9579	10	female_mid	7	19209579	36	1	2
1931.0061	10	female_low	6	19310061	58	1	2
1941.0971	10	female_high	8	19410971	40	1	2
1951.1453	10	male_low	3	19511453	32	1	2
1961.2149	10	female_low	6	19612149	16	1	2
1971.2845	10	male_mid	4	19712845	72	1	2
1981.3541	10	female_mid	7	19813541	65	1	2
1991.4237	10	male_high	5	19914237	0	1	2
2001.4932	10	female_high	8	20014932	83	1	2
2011.5628	10	male_high	5	20115628	98	1	2
2021.6324	10	male_mid	4	20216324	116	1	2
2031.702	10	female_low	6	20317020	18	1	2
2041.7716	10	male_low	3	20417716	22	1	2
2051.8198	10	female_mid	7	20518198	12	1	2
2061.8894	10	male_low	3	20618894	118	1	2
2071.959	10	male_mid	4	20719590	71	1	2
2082.0286	10	female_mid	7	20820286	27	1	2
2092.0982	10	female_low	6	20920982	55	1	2
2102.1678	10	male_high	5	21021678	102	1	2
2112.2587	10	female_high	8	21122587	108	1	2
2122.3283	10	male_mid	4	21223283	25	1	2
2132.3979	10	male_high	5	21323979	109	1	2
2142.4675	10	female_high	8	21424675	82	1	2
2152.5157	10	male_low	3	21525157	9	1	2
2162.5853	10	female_low	6	21625853	41	1	2
2172.6549	10	female_mid	7	21726549	32	1	2
2182.7458	10	male_mid	4	21827458	12	1	2
2192.8154	10	male_high	5	21928154	93	1	2
2202.8637	10	female_mid	7	22028637	6	1	2
2212.9332	10	male_low	3	22129332	115	1	2
2223.0028	10	female_high	8	22230028	4	1	2
2233.0937	10	female_low	6	22330937	31	1	2
2243.1633	10	male_high	5	22431633	99	1	2
2253.2329	10	female_high	8	22532329	115	1	2
2263.3025	10	female_low	6	22633025	33	1	2
2273.3721	10	male_low	3	22733721	42	1	2
2283.4417	10	female_mid	7	22834417	35	1	2
2293.5113	10	male_mid	4	22935113	117	1	2
2303.5809	10	female_low	6	23035809	94	1	2
2313.6504	10	male_high	5	23136504	67	1	2
2323.72	10	female_high	8	23237200	106	1	2
2333.7896	10	male_low	3	23337896	19	1	2
2343.8592	10	female_mid	7	23438592	84	1	2
2353.9288	10	male_mid	4	23539288	64	1	2
2363.9984	10	female_high	8	23639984	61	1	2
2374.068	10	male_low	3	23740680	30	1	2
2384.1376	10	female_mid	7	23841376	30	1	2
2394.2071	10	male_high	5	23942071	114	1	2
2404.2767	10	female_low	6	24042767	9	1	2
2414.3463	10	male_mid	4	24143463	111	1	2
2424.4159	10	female_low	6	24244159	32	1	2
2434.4855	10	male_low	3	24344855	5	1	2
2444.5551	10	male_mid	4	24445551	3	1	2
2454.6033	10	female_high	8	24546033	68	1	2
2464.6942	10	female_mid	7	24646942	71	1	2
2474.7425	10	male_high	5	24747425	41	1	2
2484.8334	10	male_low	3	24848334	60	1	2
2494.903	10	male_high	5	24949030	117	1	2
2504.9726	10	female_high	8	25049726	11	1	2
2515.0422	10	female_mid	7	25150422	50	1	2
2525.1118	10	male_mid	4	25251118	77	1	2
2535.1814	10	female_low	6	25351814	57	1	2
2545.2509	10	female_high	8	25452509	110	1	2
2555.3205	10	male_high	5	25553205	54	1	2
2565.3901	10	female_mid	7	25653901	69	1	2
2575.4597	10	male_mid	4	25754597	94	1	2
2585.5506	10	female_low	6	25855506	96	1	2
2595.6202	10	male_low	3	25956202	74	1	2
2605.6898	10	male_mid	4	26056898	10	1	2
2615.7594	10	female_low	6	26157594	100	1	2
2625.829	10	female_high	8	26258290	97	1	2
2635.8986	10	female_mid	7	26358986	21	1	2
2645.9681	10	male_low	3	26459681	38	1	2
2656.0377	10	male_high	5	26560377	71	1	2
2666.1073	10	female_high	8	26661073	81	1	2
2676.1769	10	male_mid	4	26761769	119	1	2
2686.2465	10	female_low	6	26862465	7	1	2
2696.3161	10	female_mid	7	26963161	58	1	2
2706.3857	10	male_low	3	27063857	47	1	2
2716.4552	10	male_high	5	27164552	12	1	2
2726.5248	10	male_mid	4	27265248	103	1	2
2736.5944	10	female_low	6	27365944	11	1	2
2746.664	10	male_low	3	27466640	73	1	2
2756.7336	10	male_high	5	27567336	10	1	2
2766.8032	10	female_mid	7	27668032	81	1	2
2776.8728	10	female_high	8	27768728	10	1	2
2786.9424	10	female_mid	7	27869424	99	1	2
2797.0119	10	male_low	3	27970119	116	1	2
2807.0815	10	female_high	8	28070815	89	1	2
2817.1511	10	male_mid	4	28171511	8	1	2
2827.2207	10	male_high	5	28272207	72	1	2
2837.3116	10	female_low	6	28373116	5	1	2
2847.3599	10	female_low	6	28473599	46	1	2
2857.4295	10	male_high	5	28574295	66	1	2
2867.499	10	female_high	8	28674990	87	1	2
2877.59	10	male_mid	4	28775900	63	1	2
2887.6595	10	female_mid	7	28876595	91	1	2
2897.7291	10	male_low	3	28977291	66	1	2
2907.8201	10	female_mid	7	29078201	24	1	2
2917.8896	10	male_mid	4	29178896	66	1	2
2927.9592	10	female_high	8	29279592	102	1	2
2938.0288	10	male_low	3	29380288	86	1	2
2948.0984	10	female_low	6	29480984	44	1	2
2958.1893	10	male_high	5	29581893	5	1	2
2968.2589	10	male_low	3	29682589	92	1	2
2978.3285	10	male_high	5	29783285	32	1	2
2988.3981	10	female_high	8	29883981	33	1	2
2998.4677	10	female_mid	7	29984677	72	1	2
3008.5586	10	male_mid	4	30085586	114	1	2
3018.6282	10	female_low	6	30186282	66	1	2
3028.7191	10	male_low	3	30287191	29	1	2
3038.7887	10	male_high	5	30387887	14	1	2
3048.8583	10	female_low	6	30488583	98	1	2
3058.9278	10	male_mid	4	30589278	55	1	2
3068.9974	10	female_high	8	30689974	100	1	2
3079.0884	10	female_mid	7	30790884	16	1	2
3089.1579	10	female_low	6	30891579	108	1	2
3099.2275	10	male_low	3	30992275	104	1	2
3109.3184	10	female_high	8	31093184	49	1	2
3119.4947	10	female_mid	7	31194947	112	1	2
3129.6923	10	male_high	5	31296923	91	1	2
3139.9326	10	male_mid	4	31399326	21	1	2
3150.1301	10	female_low	6	31501301	26	1	2
3160.3491	10	male_low	3	31603491	83	1	2
3170.5253	10	female_high	8	31705253	113	1	2
3180.5949	10	male_mid	4	31805949	62	1	2
3190.6645	10	male_high	5	31906645	113	1	2
3200.7341	10	female_mid	7	32007341	7	1	2
3210.8037	10	female_high	8	32108037	45	1	2
3220.8732	10	male_mid	4	32208732	37	1	2
3230.9642	10	female_mid	7	32309642	98	1	2
3241.0338	10	male_low	3	32410338	105	1	2
3251.1033	10	male_high	5	32511033	60	1	2
3261.1729	10	female_low	6	32611729	70	1	2
3271.2425	10	female_low	6	32712425	102	1	2
3281.3121	10	male_low	3	32813121	41	1	2
3291.403	10	male_mid	4	32914030	101	1	2
3301.4726	10	male_high	5	33014726	95	1	2
3311.6702	10	female_high	8	33116702	52	1	2
3321.8464	10	female_mid	7	33218464	37	1	2
3332.0227	10	male_low	3	33320227	1	1	2
3342.2416	10	male_high	5	33422416	26	1	2
3352.4605	10	female_mid	7	33524605	4	1	2
3362.6581	10	male_mid	4	33626581	76	1	2
