onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end
85.2207	10	clicks_high	2	852207	0	1	2
95.2903	10	clicks_low	0	952903	0	1	2
105.3599	10	clicks_mid	1	1053599	0	1	2
115.4295	10	clicks_high	2	1154295	1	1	2
125.4991	10	clicks_mid	1	1254991	1	1	2
135.5686	10	clicks_low	0	1355686	1	1	2
145.6382	10	clicks_low	0	1456382	2	1	2
155.6865	10	clicks_high	2	1556865	2	1	2
165.7774	10	clicks_mid	1	1657774	2	1	2
175.8257	10	clicks_high	2	1758257	3	1	2
185.8953	10	clicks_mid	1	1858953	3	1	2
195.9649	10	clicks_low	0	1959649	3	1	2
206.0131	10	clicks_high	2	2060131	4	1	2
216.0827	10	clicks_mid	1	2160827	4	1	2
226.1523	10	clicks_low	0	2261523	4	1	2
236.2219	10	clicks_mid	1	2362219	5	1	2
246.2915	10	clicks_low	0	2462915	5	1	2
256.3611	10	clicks_high	2	2563611	5	1	2
266.4093	10	clicks_high	2	2664093	6	1	2
276.4789	10	clicks_mid	1	2764789	6	1	2
286.5485	10	clicks_low	0	2865485	6	1	2
296.6181	10	clicks_high	2	2966181	7	1	2
306.6877	10	clicks_low	0	3066877	7	1	2
316.736	10	clicks_mid	1	3167360	7	1	2
326.8055	10	clicks_low	0	3268055	8	1	2
336.8751	10	clicks_high	2	3368751	8	1	2
346.9447	10	clicks_mid	1	3469447	8	1	2
357.0143	10	clicks_mid	1	3570143	9	1	2
367.0626	10	clicks_low	0	3670626	9	1	2
377.1322	10	clicks_high	2	3771322	9	1	2
387.2231	10	clicks_mid	1	3872231	10	1	2
397.2714	10	clicks_low	0	3972714	10	1	2
407.3409	10	clicks_high	2	4073409	10	1	2
417.4105	10	clicks_high	2	4174105	11	1	2
427.4801	10	clicks_mid	1	4274801	11	1	2
437.5497	10	clicks_low	0	4375497	11	1	2
447.6193	10	clicks_low	0	4476193	12	1	2
457.6889	10	clicks_high	2	4576889	12	1	2
467.7585	10	clicks_mid	1	4677585	12	1	2
477.8281	10	clicks_low	0	4778281	13	1	2
487.8977	10	clicks_mid	1	4878977	13	1	2
497.9673	10	clicks_high	2	4979673	13	1	2
508.0368	10	clicks_mid	1	5080368	14	1	2
518.1064	10	clicks_high	2	5181064	14	1	2
528.176	10	clicks_low	0	5281760	14	1	2
538.2243	10	clicks_low	0	5382243	15	1	2
548.2939	10	clicks_mid	1	5482939	15	1	2
558.3635	10	clicks_high	2	5583635	15	1	2
568.4331	10	clicks_high	2	5684331	16	1	2
578.5026	10	clicks_mid	1	5785026	16	1	2
588.5509	10	clicks_low	0	5885509	16	1	2
598.6205	10	clicks_mid	1	5986205	17	1	2
608.6901	10	clicks_low	0	6086901	17	1	2
618.7597	10	clicks_high	2	6187597	17	1	2
628.8293	10	clicks_mid	1	6288293	18	1	2
638.8989	10	clicks_low	0	6388989	18	1	2
648.9684	10	clicks_high	2	6489684	18	1	2
659.038	10	clicks_high	2	6590380	19	1	2
669.1076	10	clicks_mid	1	6691076	19	1	2
679.1559	10	clicks_low	0	6791559	19	1	2
689.2255	10	clicks_mid	1	6892255	20	1	2
699.2951	10	clicks_low	0	6992951	20	1	2
709.3647	10	clicks_high	2	7093647	20	1	2
719.4342	10	clicks_mid	1	7194342	21	1	2
729.4825	10	clicks_low	0	7294825	21	1	2
739.5521	10	clicks_high	2	7395521	21	1	2
749.6217	10	clicks_high	2	7496217	22	1	2
759.6913	10	clicks_low	0	7596913	22	1	2
769.7609	10	clicks_mid	1	7697609	22	1	2
779.8304	10	clicks_high	2	7798304	23	1	2
789.9	10	clicks_low	0	7899000	23	1	2
799.9483	10	clicks_mid	1	7999483	23	1	2
810.0179	10	clicks_low	0	8100179	24	1	2
820.0875	10	clicks_mid	1	8200875	24	1	2
830.1571	10	clicks_high	2	8301571	24	1	2
840.2267	10	clicks_high	2	8402267	25	1	2
850.2962	10	clicks_low	0	8502962	25	1	2
860.3658	10	clicks_mid	1	8603658	25	1	2
870.4354	10	clicks_low	0	8704354	26	1	2
880.4837	10	clicks_high	2	8804837	26	1	2
890.5533	10	clicks_mid	1	8905533	26	1	2
900.6229	10	clicks_high	2	9006229	27	1	2
910.6924	10	clicks_low	0	9106924	27	1	2
920.7407	10	clicks_mid	1	9207407	27	1	2
930.8103	10	clicks_high	2	9308103	28	1	2
940.8799	10	clicks_mid	1	9408799	28	1	2
950.9495	10	clicks_low	0	9509495	28	1	2
961.0191	10	clicks_low	0	9610191	29	1	2
971.0887	10	clicks_high	2	9710887	29	1	2
981.1582	10	clicks_mid	1	9811582	29	1	2
1103.0173	10	female_high	8	11030173	25	1	2
1113.0869	10	female_mid	7	11130869	86	1	2
1123.1565	10	male_high	5	11231565	83	1	2
1133.2261	10	female_low	6	11332261	64	1	2
1143.2957	10	male_low	3	11432957	104	1	2
1153.3653	10	male_mid	4	11533653	11	1	2
1163.4349	10	male_high	5	11634349	115	1	2
1173.5045	10	male_low	3	11735045	44	1	2
1183.5741	10	female_low	6	11835741	72	1	2
1193.665	10	female_mid	7	11936650	116	1	2
1203.7346	10	male_mid	4	12037346	105	1	2
1213.8042	10	female_high	8	12138042	23	1	2
1223.8737	10	male_high	5	12238737	36	1	2
1233.9647	10	male_low	3	12339647	15	1	2
1244.0343	10	female_low	6	12440343	35	1	2
1254.1038	10	female_high	8	12541038	22	1	2
