onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end
99.465	10	clicks_mid	1	994650	0	1	2
109.5346	10	clicks_high	2	1095346	0	1	2
119.6042	10	clicks_low	0	1196042	0	1	2
129.6738	10	clicks_low	0	1296738	1	1	2
139.7434	10	clicks_mid	1	1397434	1	1	2
149.813	10	clicks_high	2	1498130	1	1	2
159.8826	10	clicks_low	0	1598826	2	1	2
169.9522	10	clicks_mid	1	1699522	2	1	2
180.0218	10	clicks_high	2	1800218	2	1	2
190.07	10	clicks_high	2	1900700	3	1	2
200.161	10	clicks_mid	1	2001610	3	1	2
210.2305	10	clicks_low	0	2102305	3	1	2
220.3001	10	clicks_mid	1	2203001	4	1	2
230.3697	10	clicks_high	2	2303697	4	1	2
240.418	10	clicks_low	0	2404180	4	1	2
250.4876	10	clicks_mid	1	2504876	5	1	2
260.5572	10	clicks_high	2	2605572	5	1	2
270.6268	10	clicks_low	0	2706268	5	1	2
280.6964	10	clicks_low	0	2806964	6	1	2
290.766	10	clicks_high	2	2907660	6	1	2
300.8356	10	clicks_mid	1	3008356	6	1	2
310.9052	10	clicks_mid	1	3109052	7	1	2
320.9747	10	clicks_high	2	3209747	7	1	2
331.0443	10	clicks_low	0	3310443	7	1	2
341.1139	10	clicks_mid	1	3411139	8	1	2
351.1835	10	clicks_low	0	3511835	8	1	2
361.2531	10	clicks_high	2	3612531	8	1	2
371.3014	10	clicks_high	2	3713014	9	1	2
381.371	10	clicks_low	0	3813710	9	1	2
391.4406	10	clicks_mid	1	3914406	9	1	2
401.5102	10	clicks_high	2	4015102	10	1	2
411.5797	10	clicks_low	0	4115797	10	1	2
421.6493	10	clicks_mid	1	4216493	10	1	2
431.7189	10	clicks_mid	1	4317189	11	1	2
441.7885	10	clicks_high	2	4417885	11	1	2
451.8581	10	clicks_low	0	4518581	11	1	2
461.9277	10	clicks_mid	1	4619277	12	1	2
471.9973	10	clicks_high	2	4719973	12	1	2
482.0669	10	clicks_low	0	4820669	12	1	2
492.1365	10	clicks_high	2	4921365	13	1	2
502.2061	10	clicks_mid	1	5022061	13	1	2
512.2543	10	clicks_low	0	5122543	13	1	2
522.3239	10	clicks_high	2	5223239	14	1	2
532.3935	10	clicks_mid	1	5323935	14	1	2
542.4631	10	clicks_low	0	5424631	14	1	2
552.5327	10	clicks_low	0	5525327	15	1	2
562.6023	10	clicks_mid	1	5626023	15	1	2
572.6719	10	clicks_high	2	5726719	15	1	2
582.7415	10	clicks_mid	1	5827415	16	1	2
592.8111	10	clicks_high	2	5928111	16	1	2
602.8593	10	clicks_low	0	6028593	16	1	2
612.9289	10	clicks_low	0	6129289	17	1	2
622.9985	10	clicks_mid	1	6229985	17	1	2
633.0681	10	clicks_high	2	6330681	17	1	2
643.1377	10	clicks_low	0	6431377	18	1	2
653.2073	10	clicks_high	2	6532073	18	1	2
663.2769	10	clicks_mid	1	6632769	18	1	2
673.3465	10	clicks_low	0	6733465	19	1	2
683.4374	10	clicks_high	2	6834374	19	1	2
693.507	10	clicks_mid	1	6935070	19	1	2
703.5766	10	clicks_high	2	7035766	20	1	2
713.6462	10	clicks_mid	1	7136462	20	1	2
723.7158	10	clicks_low	0	7237158	20	1	2
733.7854	10	clicks_low	0	7337854	21	1	2
743.855	10	clicks_mid	1	7438550	21	1	2
753.9246	10	clicks_high	2	7539246	21	1	2
763.9728	10	clicks_mid	1	7639728	22	1	2
774.0424	10	clicks_high	2	7740424	22	1	2
784.112	10	clicks_low	0	7841120	22	1	2
794.1816	10	clicks_high	2	7941816	23	1	2
804.2512	10	clicks_low	0	8042512	23	1	2
814.3208	10	clicks_mid	1	8143208	23	1	2
824.3904	10	clicks_high	2	8243904	24	1	2
834.46	10	clicks_mid	1	8344600	24	1	2
844.5296	10	clicks_low	0	8445296	24	1	2
854.5992	10	clicks_low	0	8545992	25	1	2
864.6687	10	clicks_mid	1	8646687	25	1	2
874.7383	10	clicks_high	2	8747383	25	1	2
884.8079	10	clicks_high	2	8848079	26	1	2
894.8775	10	clicks_mid	1	8948775	26	1	2
904.9471	10	clicks_low	0	9049471	26	1	2
915.0167	10	clicks_high	2	9150167	27	1	2
925.0863	10	clicks_mid	1	9250863	27	1	2
935.1559	10	clicks_low	0	9351559	27	1	2
945.2255	10	clicks_mid	1	9452255	28	1	2
955.2951	10	clicks_high	2	9552951	28	1	2
965.3647	10	clicks_low	0	9653647	28	1	2
975.4129	10	clicks_mid	1	9754129	29	1	2
985.4825	10	clicks_high	2	9854825	29	1	2
995.5521	10	clicks_low	0	9955521	29	1	2
1025.3342	10	male_mid	4	10253342	24	1	2
1035.4251	10	female_low	6	10354251	80	1	2
1045.4947	10	male_high	5	10454947	27	1	2
1055.543	10	male_low	3	10555430	36	1	2
1065.6126	10	female_high	8	10656126	57	1	2
1075.6821	10	female_mid	7	10756821	90	1	2
1085.7517	10	female_high	8	10857517	85	1	2
1095.8213	10	male_mid	4	10958213	106	1	2
1105.8909	10	male_high	5	11058909	19	1	2
1115.9605	10	female_mid	7	11159605	5	1	2
1126.0301	10	male_low	3	11260301	78	1	2
1136.0997	10	female_low	6	11360997	39	1	2
1146.1693	10	male_low	3	11461693	70	1	2
1156.2602	10	female_high	8	11562602	101	1	2
1166.3085	10	female_mid	7	11663085	31	1	2
1176.3781	10	male_mid	4	11763781	1	1	2
1186.4476	10	female_low	6	11864476	10	1	2
1196.5386	10	male_high	5	11965386	38	1	2
1206.6082	10	male_low	3	12066082	37	1	2
1216.6778	10	male_high	5	12166778	103	1	2
1226.7473	10	female_low	6	12267473	83	1	2
1236.8169	10	female_high	8	12368169	19	1	2
1246.8652	10	female_mid	7	12468652	84	1	2
1256.9561	10	male_mid	4	12569561	60	1	2
1267.0257	10	male_high	5	12670257	48	1	2
1277.0953	10	female_high	8	12770953	2	1	2
1287.1862	10	female_mid	7	12871862	98	1	2
1297.2558	10	female_low	6	12972558	99	1	2
1307.3254	10	male_mid	4	13073254	77	1	2
1317.395	10	male_low	3	13173950	115	1	2
1327.4646	10	female_high	8	13274646	82	1	2
1337.5342	10	female_low	6	13375342	88	1	2
1347.6251	10	male_high	5	13476251	75	1	2
1357.6947	10	female_mid	7	13576947	12	1	2
1367.7643	10	male_low	3	13677643	94	1	2
1377.8339	10	male_mid	4	13778339	104	1	2
1387.9035	10	female_high	8	13879035	39	1	2
1397.973	10	male_low	3	13979730	76	1	2
1408.0426	10	male_high	5	14080426	37	1	2
1418.1122	10	female_low	6	14181122	12	1	2
1428.1818	10	female_mid	7	14281818	43	1	2
1438.2727	10	male_mid	4	14382727	85	1	2
1448.3423	10	female_low	6	14483423	16	1	2
1458.4119	10	female_mid	7	14584119	72	1	2
1468.4815	10	female_high	8	14684815	68	1	2
1478.5511	10	male_high	5	14785511	49	1	2
1488.6207	10	male_mid	4	14886207	28	1	2
1498.6903	10	male_low	3	14986903	65	1	2
1508.7812	10	female_low	6	15087812	75	1	2
1518.8508	10	male_high	5	15188508	13	1	2
1528.9204	10	male_low	3	15289204	75	1	2
1538.99	10	male_mid	4	15389900	89	1	2
1549.0596	10	female_mid	7	15490596	7	1	2
1559.1292	10	female_high	8	15591292	8	1	2
1569.1987	10	male_mid	4	15691987	17	1	2
1579.2683	10	male_high	5	15792683	107	1	2
1589.3379	10	female_mid	7	15893379	66	1	2
1599.4288	10	female_high	8	15994288	65	1	2
1609.4984	10	male_low	3	16094984	49	1	2
1619.568	10	female_low	6	16195680	43	1	2
1629.6376	10	female_high	8	16296376	64	1	2
1639.7072	10	male_mid	4	16397072	113	1	2
1649.7768	10	male_high	5	16497768	81	1	2
1659.8464	10	female_low	6	16598464	37	1	2
1669.916	10	male_low	3	16699160	77	1	2
1679.9856	10	female_mid	7	16799856	78	1	2
1690.0765	10	female_high	8	16900765	95	1	2
1700.1461	10	male_low	3	17001461	55	1	2
1710.2157	10	male_high	5	17102157	64	1	2
1720.2853	10	female_low	6	17202853	32	1	2
1730.3548	10	female_mid	7	17303548	107	1	2
1740.4244	10	male_mid	4	17404244	46	1	2
1750.494	10	female_high	8	17504940	116	1	2
1760.5636	10	female_mid	7	17605636	75	1	2
1770.6332	10	male_mid	4	17706332	14	1	2
1780.7028	10	female_low	6	17807028	66	1	2
1790.7724	10	male_low	3	17907724	110	1	2
1800.842	10	male_high	5	18008420	40	1	2
1810.9116	10	male_low	3	18109116	114	1	2
1820.9811	10	female_low	6	18209811	40	1	2
1831.0721	10	female_mid	7	18310721	49	1	2
1841.1417	10	male_high	5	18411417	112	1	2
1851.2113	10	female_high	8	18512113	74	1	2
1861.2808	10	male_mid	4	18612808	90	1	2
