onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
100.1255	10	clicks_low	0	1001255	0	1	2	clicks_low/clicks_low_000_regress.hdf5
110.1951	10	clicks_high	2	1101951	0	1	2	clicks_high/clicks_high_000_regress.hdf5
120.2433	10	clicks_mid	1	1202433	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
130.3129	10	clicks_low	0	1303129	1	1	2	clicks_low/clicks_low_001_regress.hdf5
140.3825	10	clicks_high	2	1403825	1	1	2	clicks_high/clicks_high_001_regress.hdf5
150.4521	10	clicks_mid	1	1504521	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
160.5217	10	clicks_high	2	1605217	2	1	2	clicks_high/clicks_high_002_regress.hdf5
170.5913	10	clicks_mid	1	1705913	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
180.6609	10	clicks_low	0	1806609	2	1	2	clicks_low/clicks_low_002_regress.hdf5
190.7305	10	clicks_mid	1	1907305	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
200.8001	10	clicks_low	0	2008001	3	1	2	clicks_low/clicks_low_003_regress.hdf5
210.8697	10	clicks_high	2	2108697	3	1	2	clicks_high/clicks_high_003_regress.hdf5
220.9393	10	clicks_low	0	2209393	4	1	2	clicks_low/clicks_low_004_regress.hdf5
231.0089	10	clicks_high	2	2310089	4	1	2	clicks_high/clicks_high_004_regress.hdf5
241.0785	10	clicks_mid	1	2410785	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
251.1267	10	clicks_high	2	2511267	5	1	2	clicks_high/clicks_high_005_regress.hdf5
261.1963	10	clicks_mid	1	2611963	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
271.2659	10	clicks_low	0	2712659	5	1	2	clicks_low/clicks_low_005_regress.hdf5
281.3568	10	clicks_low	0	2813568	6	1	2	clicks_low/clicks_low_006_regress.hdf5
291.4051	10	clicks_high	2	2914051	6	1	2	clicks_high/clicks_high_006_regress.hdf5
301.4747	10	clicks_mid	1	3014747	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
311.5443	10	clicks_high	2	3115443	7	1	2	clicks_high/clicks_high_007_regress.hdf5
321.6139	10	clicks_low	0	3216139	7	1	2	clicks_low/clicks_low_007_regress.hdf5
331.6835	10	clicks_mid	1	3316835	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
341.7531	10	clicks_mid	1	3417531	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
351.8013	10	clicks_high	2	3518013	8	1	2	clicks_high/clicks_high_008_regress.hdf5
361.8709	10	clicks_low	0	3618709	8	1	2	clicks_low/clicks_low_008_regress.hdf5
371.9405	10	clicks_high	2	3719405	9	1	2	clicks_high/clicks_high_009_regress.hdf5
382.0101	10	clicks_low	0	3820101	9	1	2	clicks_low/clicks_low_009_regress.hdf5
392.0797	10	clicks_mid	1	3920797	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
402.1493	10	clicks_low	0	4021493	10	1	2	clicks_low/clicks_low_010_regress.hdf5
412.2189	10	clicks_high	2	4122189	10	1	2	clicks_high/clicks_high_010_regress.hdf5
422.2885	10	clicks_mid	1	4222885	10	1	2	clicks_mid/clicks_mid_010_regress.hdf5
432.3581	10	clicks_low	0	4323581	11	1	2	clicks_low/clicks_low_011_regress.hdf5
442.4277	10	clicks_high	2	4424277	11	1	2	clicks_high/clicks_high_011_regress.hdf5
452.4973	10	clicks_mid	1	4524973	11	1	2	clicks_mid/clicks_mid_011_regress.hdf5
462.5455	10	clicks_high	2	4625455	12	1	2	clicks_high/clicks_high_012_regress.hdf5
472.6151	10	clicks_low	0	4726151	12	1	2	clicks_low/clicks_low_012_regress.hdf5
482.6847	10	clicks_mid	1	4826847	12	1	2	clicks_mid/clicks_mid_012_regress.hdf5
492.7543	10	clicks_high	2	4927543	13	1	2	clicks_high/clicks_high_013_regress.hdf5
502.8239	10	clicks_low	0	5028239	13	1	2	clicks_low/clicks_low_013_regress.hdf5
512.8935	10	clicks_mid	1	5128935	13	1	2	clicks_mid/clicks_mid_013_regress.hdf5
522.9844	10	clicks_low	0	5229844	14	1	2	clicks_low/clicks_low_014_regress.hdf5
533.054	10	clicks_high	2	5330540	14	1	2	clicks_high/clicks_high_014_regress.hdf5
543.1236	10	clicks_mid	1	5431236	14	1	2	clicks_mid/clicks_mid_014_regress.hdf5
553.1932	10	clicks_high	2	5531932	15	1	2	clicks_high/clicks_high_015_regress.hdf5
563.2414	10	clicks_low	0	5632414	15	1	2	clicks_low/clicks_low_015_regress.hdf5
573.311	10	clicks_mid	1	5733110	15	1	2	clicks_mid/clicks_mid_015_regress.hdf5
583.3806	10	clicks_high	2	5833806	16	1	2	clicks_high/clicks_high_016_regress.hdf5
593.4502	10	clicks_low	0	5934502	16	1	2	clicks_low/clicks_low_016_regress.hdf5
603.5198	10	clicks_mid	1	6035198	16	1	2	clicks_mid/clicks_mid_016_regress.hdf5
613.5894	10	clicks_high	2	6135894	17	1	2	clicks_high/clicks_high_017_regress.hdf5
623.659	10	clicks_mid	1	6236590	17	1	2	clicks_mid/clicks_mid_017_regress.hdf5
633.7286	10	clicks_low	0	6337286	17	1	2	clicks_low/clicks_low_017_regress.hdf5
643.7982	10	clicks_mid	1	6437982	18	1	2	clicks_mid/clicks_mid_018_regress.hdf5
653.8678	10	clicks_high	2	6538678	18	1	2	clicks_high/clicks_high_018_regress.hdf5
663.9374	10	clicks_low	0	6639374	18	1	2	clicks_low/clicks_low_018_regress.hdf5
673.9856	10	clicks_mid	1	6739856	19	1	2	clicks_mid/clicks_mid_019_regress.hdf5
684.0552	10	clicks_high	2	6840552	19	1	2	clicks_high/clicks_high_019_regress.hdf5
694.1248	10	clicks_low	0	6941248	19	1	2	clicks_low/clicks_low_019_regress.hdf5
704.1944	10	clicks_low	0	7041944	20	1	2	clicks_low/clicks_low_020_regress.hdf5
714.264	10	clicks_mid	1	7142640	20	1	2	clicks_mid/clicks_mid_020_regress.hdf5
724.3336	10	clicks_high	2	7243336	20	1	2	clicks_high/clicks_high_020_regress.hdf5
734.4032	10	clicks_low	0	7344032	21	1	2	clicks_low/clicks_low_021_regress.hdf5
744.4941	10	clicks_mid	1	7444941	21	1	2	clicks_mid/clicks_mid_021_regress.hdf5
754.5637	10	clicks_high	2	7545637	21	1	2	clicks_high/clicks_high_021_regress.hdf5
764.6333	10	clicks_high	2	7646333	22	1	2	clicks_high/clicks_high_022_regress.hdf5
