onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end
189.8876	10	clicks_mid	1	1898876	0	1	2
199.9572	10	clicks_high	2	1999572	0	1	2
210.0268	10	clicks_low	0	2100268	0	1	2
220.0963	10	clicks_high	2	2200963	1	1	2
230.1659	10	clicks_mid	1	2301659	1	1	2
240.2355	10	clicks_low	0	2402355	1	1	2
250.3051	10	clicks_low	0	2503051	2	1	2
260.3747	10	clicks_mid	1	2603747	2	1	2
270.4443	10	clicks_high	2	2704443	2	1	2
280.5139	10	clicks_high	2	2805139	3	1	2
290.5835	10	clicks_low	0	2905835	3	1	2
300.6317	10	clicks_mid	1	3006317	3	1	2
310.7013	10	clicks_high	2	3107013	4	1	2
320.7709	10	clicks_mid	1	3207709	4	1	2
330.8405	10	clicks_low	0	3308405	4	1	2
340.9101	10	clicks_mid	1	3409101	5	1	2
350.9797	10	clicks_high	2	3509797	5	1	2
361.0493	10	clicks_low	0	3610493	5	1	2
371.1189	10	clicks_high	2	3711189	6	1	2
381.1885	10	clicks_low	0	3811885	6	1	2
391.2581	10	clicks_mid	1	3912581	6	1	2
401.3277	10	clicks_mid	1	4013277	7	1	2
411.3973	10	clicks_low	0	4113973	7	1	2
421.4668	10	clicks_high	2	4214668	7	1	2
431.5364	10	clicks_high	2	4315364	8	1	2
441.5847	10	clicks_mid	1	4415847	8	1	2
451.6543	10	clicks_low	0	4516543	8	1	2
461.7239	10	clicks_low	0	4617239	9	1	2
471.8148	10	clicks_high	2	4718148	9	1	2
481.8631	10	clicks_mid	1	4818631	9	1	2
491.9326	10	clicks_mid	1	4919326	10	1	2
502.0022	10	clicks_high	2	5020022	10	1	2
512.0718	10	clicks_low	0	5120718	10	1	2
522.1414	10	clicks_high	2	5221414	11	1	2
532.211	10	clicks_mid	1	5322110	11	1	2
542.2806	10	clicks_low	0	5422806	11	1	2
552.3502	10	clicks_mid	1	5523502	12	1	2
562.4198	10	clicks_high	2	5624198	12	1	2
572.4894	10	clicks_low	0	5724894	12	1	2
582.5376	10	clicks_high	2	5825376	13	1	2
592.6072	10	clicks_low	0	5926072	13	1	2
602.6768	10	clicks_mid	1	6026768	13	1	2
612.7464	10	clicks_low	0	6127464	14	1	2
622.7947	10	clicks_mid	1	6227947	14	1	2
632.8643	10	clicks_high	2	6328643	14	1	2
642.9338	10	clicks_low	0	6429338	15	1	2
653.0034	10	clicks_mid	1	6530034	15	1	2
663.073	10	clicks_high	2	6630730	15	1	2
673.1426	10	clicks_mid	1	6731426	16	1	2
683.2122	10	clicks_high	2	6832122	16	1	2
693.2818	10	clicks_low	0	6932818	16	1	2
703.3514	10	clicks_high	2	7033514	17	1	2
713.421	10	clicks_mid	1	7134210	17	1	2
723.4906	10	clicks_low	0	7234906	17	1	2
733.5388	10	clicks_mid	1	7335388	18	1	2
743.6084	10	clicks_low	0	7436084	18	1	2
753.678	10	clicks_high	2	7536780	18	1	2
763.7476	10	clicks_mid	1	7637476	19	1	2
773.8172	10	clicks_high	2	7738172	19	1	2
783.8868	10	clicks_low	0	7838868	19	1	2
793.9564	10	clicks_low	0	7939564	20	1	2
804.026	10	clicks_mid	1	8040260	20	1	2
814.0742	10	clicks_high	2	8140742	20	1	2
824.1438	10	clicks_mid	1	8241438	21	1	2
834.2347	10	clicks_low	0	8342347	21	1	2
844.3043	10	clicks_high	2	8443043	21	1	2
854.3739	10	clicks_high	2	8543739	22	1	2
864.4435	10	clicks_low	0	8644435	22	1	2
874.5131	10	clicks_mid	1	8745131	22	1	2
884.5827	10	clicks_mid	1	8845827	23	1	2
894.6309	10	clicks_low	0	8946309	23	1	2
904.7005	10	clicks_high	2	9047005	23	1	2
914.7701	10	clicks_mid	1	9147701	24	1	2
924.8397	10	clicks_high	2	9248397	24	1	2
934.9093	10	clicks_low	0	9349093	24	1	2
944.9789	10	clicks_mid	1	9449789	25	1	2
955.0485	10	clicks_low	0	9550485	25	1	2
965.1181	10	clicks_high	2	9651181	25	1	2
975.1876	10	clicks_high	2	9751876	26	1	2
985.2572	10	clicks_low	0	9852572	26	1	2
995.3055	10	clicks_mid	1	9953055	26	1	2
1005.3751	10	clicks_low	0	10053751	27	1	2
1015.4447	10	clicks_mid	1	10154447	27	1	2
1025.5143	10	clicks_high	2	10255143	27	1	2
1035.5839	10	clicks_mid	1	10355839	28	1	2
1045.6321	10	clicks_low	0	10456321	28	1	2
1055.7017	10	clicks_high	2	10557017	28	1	2
1065.7713	10	clicks_low	0	10657713	29	1	2
1075.8409	10	clicks_mid	1	10758409	29	1	2
1085.9105	10	clicks_high	2	10859105	29	1	2
1103.6602	10	female_mid	7	11036602	72	1	2
1113.7298	10	female_low	6	11137298	101	1	2
1123.7994	10	male_low	3	11237994	80	1	2
1133.869	10	male_high	5	11338690	61	1	2
1143.9386	10	female_high	8	11439386	72	1	2
1154.0082	10	male_mid	4	11540082	11	1	2
1164.0778	10	female_mid	7	11640778	12	1	2
1174.1474	10	female_high	8	11741474	76	1	2
1184.217	10	male_high	5	11842170	11	1	2
1194.2866	10	male_low	3	11942866	25	1	2
1204.3561	10	male_mid	4	12043561	67	1	2
1214.4257	10	female_low	6	12144257	24	1	2
1224.4953	10	male_high	5	12244953	89	1	2
1234.5649	10	female_low	6	12345649	39	1	2
1244.6345	10	female_high	8	12446345	1	1	2
1254.7041	10	male_mid	4	12547041	70	1	2
1264.7737	10	female_mid	7	12647737	54	1	2
1274.8433	10	male_low	3	12748433	22	1	2
1284.9129	10	female_mid	7	12849129	108	1	2
1294.9824	10	female_low	6	12949824	70	1	2
1305.052	10	male_mid	4	13050520	1	1	2
1315.1216	10	male_low	3	13151216	103	1	2
1325.1912	10	male_high	5	13251912	92	1	2
1335.2821	10	female_high	8	13352821	41	1	2
1345.3517	10	female_mid	7	13453517	42	1	2
1355.4213	10	male_low	3	13554213	13	1	2
1365.4909	10	male_mid	4	13654909	64	1	2
1375.5605	10	male_high	5	13755605	95	1	2
1385.6301	10	female_high	8	13856301	62	1	2
1395.6997	10	female_low	6	13956997	42	1	2
1405.7906	10	female_mid	7	14057906	82	1	2
1415.8602	10	male_mid	4	14158602	55	1	2
1425.9298	10	male_low	3	14259298	15	1	2
1435.9994	10	male_high	5	14359994	113	1	2
1446.0689	10	female_low	6	14460689	0	1	2
1456.1385	10	female_high	8	14561385	88	1	2
1466.2081	10	male_high	5	14662081	87	1	2
1476.2777	10	female_high	8	14762777	19	1	2
1486.3473	10	female_mid	7	14863473	38	1	2
1496.4169	10	female_low	6	14964169	69	1	2
1506.4865	10	male_mid	4	15064865	77	1	2
1516.5561	10	male_low	3	15165561	69	1	2
1526.6257	10	female_mid	7	15266257	52	1	2
1536.6952	10	male_mid	4	15366952	0	1	2
1546.7648	10	male_low	3	15467648	54	1	2
1556.8344	10	female_high	8	15568344	63	1	2
1566.9253	10	female_low	6	15669253	27	1	2
1576.9949	10	male_high	5	15769949	31	1	2
1587.0645	10	female_mid	7	15870645	7	1	2
1597.1341	10	male_high	5	15971341	19	1	2
1607.2037	10	female_low	6	16072037	110	1	2
1617.2946	10	female_high	8	16172946	15	1	2
1627.3642	10	male_low	3	16273642	28	1	2
1637.4338	10	male_mid	4	16374338	79	1	2
1647.5247	10	male_mid	4	16475247	3	1	2
1657.5943	10	female_mid	7	16575943	65	1	2
1667.6639	10	male_high	5	16676639	20	1	2
1677.7548	10	female_low	6	16777548	67	1	2
1687.8244	10	female_high	8	16878244	46	1	2
1697.894	10	male_low	3	16978940	89	1	2
1707.9636	10	female_high	8	17079636	22	1	2
1718.0545	10	male_low	3	17180545	98	1	2
1728.1028	10	female_low	6	17281028	99	1	2
1738.1724	10	male_mid	4	17381724	24	1	2
1748.2419	10	female_mid	7	17482419	46	1	2
1758.3115	10	male_high	5	17583115	14	1	2
1768.3811	10	female_high	8	17683811	28	1	2
1778.4507	10	male_low	3	17784507	90	1	2
1788.5203	10	male_high	5	17885203	8	1	2
1798.5899	10	male_mid	4	17985899	119	1	2
1808.6595	10	female_low	6	18086595	59	1	2
1818.7291	10	female_mid	7	18187291	118	1	2
1828.82	10	male_high	5	18288200	72	1	2
1838.8896	10	male_mid	4	18388896	36	1	2
1848.9592	10	female_low	6	18489592	118	1	2
1859.0288	10	female_mid	7	18590288	80	1	2
1869.1197	10	male_low	3	18691197	87	1	2
1879.1893	10	female_high	8	18791893	87	1	2
1889.2589	10	male_low	3	18892589	106	1	2
1899.3284	10	male_high	5	18993284	53	1	2
1909.398	10	female_mid	7	19093980	113	1	2
1919.4676	10	female_high	8	19194676	91	1	2
1929.5372	10	male_mid	4	19295372	111	1	2
1939.6068	10	female_low	6	19396068	75	1	2
1949.6764	10	female_mid	7	19496764	3	1	2
1959.746	10	female_low	6	19597460	33	1	2
1969.8156	10	male_low	3	19698156	12	1	2
1979.8851	10	male_high	5	19798851	16	1	2
1989.9761	10	male_mid	4	19899761	73	1	2
2000.0457	10	female_high	8	20000457	8	1	2
2010.1152	10	female_mid	7	20101152	28	1	2
2020.1848	10	female_high	8	20201848	55	1	2
2030.2544	10	male_low	3	20302544	61	1	2
2040.324	10	male_high	5	20403240	81	1	2
2050.3936	10	male_mid	4	20503936	2	1	2
2060.4632	10	female_low	6	20604632	22	1	2
2070.5328	10	female_low	6	20705328	6	1	2
2080.6237	10	male_high	5	20806237	99	1	2
2090.6933	10	female_high	8	20906933	81	1	2
2100.7415	10	female_mid	7	21007415	90	1	2
2110.8111	10	male_mid	4	21108111	29	1	2
2120.8807	10	male_low	3	21208807	16	1	2
2130.9503	10	female_mid	7	21309503	16	1	2
2141.0199	10	male_mid	4	21410199	94	1	2
2151.0895	10	female_low	6	21510895	43	1	2
2161.1591	10	male_low	3	21611591	63	1	2
2171.2287	10	male_high	5	21712287	67	1	2
2181.2982	10	female_high	8	21812982	30	1	2
2191.3678	10	male_mid	4	21913678	31	1	2
2201.4374	10	female_high	8	22014374	112	1	2
2211.5283	10	male_high	5	22115283	25	1	2
2221.5979	10	female_mid	7	22215979	102	1	2
2231.6462	10	female_low	6	22316462	96	1	2
2241.7158	10	male_low	3	22417158	88	1	2
2251.7854	10	female_high	8	22517854	7	1	2
2261.8549	10	female_mid	7	22618549	77	1	2
2271.9245	10	male_high	5	22719245	29	1	2
2281.9941	10	female_low	6	22819941	17	1	2
2292.0637	10	male_mid	4	22920637	4	1	2
2302.1333	10	male_low	3	23021333	117	1	2
2312.2029	10	female_mid	7	23122029	101	1	2
2322.2725	10	male_low	3	23222725	40	1	2
2332.3634	10	female_low	6	23323634	60	1	2
2342.433	10	female_high	8	23424330	94	1	2
2352.5026	10	male_mid	4	23525026	47	1	2
2362.5722	10	male_high	5	23625722	104	1	2
2372.6418	10	male_mid	4	23726418	38	1	2
2382.7113	10	female_mid	7	23827113	59	1	2
2392.7809	10	male_high	5	23927809	3	1	2
2402.8505	10	female_high	8	24028505	110	1	2
2412.9414	10	male_low	3	24129414	99	1	2
2423.011	10	female_low	6	24230110	34	1	2
2433.0806	10	female_low	6	24330806	80	1	2
2443.1502	10	male_high	5	24431502	105	1	2
2453.2198	10	male_mid	4	24532198	23	1	2
2463.2894	10	male_low	3	24632894	53	1	2
2473.359	10	female_high	8	24733590	20	1	2
2483.4286	10	female_mid	7	24834286	61	1	2
2493.5195	10	female_low	6	24935195	109	1	2
2503.5891	10	male_mid	4	25035891	92	1	2
2513.6586	10	male_high	5	25136586	116	1	2
2523.7282	10	male_low	3	25237282	45	1	2
2533.7978	10	female_mid	7	25337978	39	1	2
2543.8887	10	female_high	8	25438887	39	1	2
2553.9583	10	male_low	3	25539583	113	1	2
2564.0279	10	female_mid	7	25640279	27	1	2
2574.0975	10	female_low	6	25740975	56	1	2
2584.1671	10	female_high	8	25841671	80	1	2
2594.2367	10	male_mid	4	25942367	30	1	2
2604.3063	10	male_high	5	26043063	77	1	2
2614.3759	10	male_low	3	26143759	7	1	2
2624.4454	10	female_high	8	26244454	56	1	2
2634.5364	10	female_mid	7	26345364	100	1	2
2644.606	10	male_mid	4	26446060	20	1	2
2654.6755	10	male_high	5	26546755	17	1	2
2664.7451	10	female_low	6	26647451	19	1	2
2674.8147	10	male_mid	4	26748147	15	1	2
2684.9056	10	female_mid	7	26849056	26	1	2
2694.9752	10	female_high	8	26949752	47	1	2
2705.0448	10	male_low	3	27050448	42	1	2
2715.1144	10	male_high	5	27151144	23	1	2
2725.184	10	female_low	6	27251840	45	1	2
2735.2536	10	female_high	8	27352536	79	1	2
2745.3232	10	male_mid	4	27453232	10	1	2
2755.3928	10	male_high	5	27553928	58	1	2
2765.4623	10	male_low	3	27654623	74	1	2
2775.5319	10	female_mid	7	27755319	2	1	2
2785.6015	10	female_low	6	27856015	114	1	2
2795.6711	10	female_high	8	27956711	97	1	2
2805.762	10	female_mid	7	28057620	60	1	2
2815.8316	10	male_mid	4	28158316	93	1	2
2825.9012	10	male_low	3	28259012	37	1	2
2835.9708	10	female_low	6	28359708	76	1	2
2846.0404	10	male_high	5	28460404	75	1	2
2856.11	10	male_high	5	28561100	90	1	2
2866.2009	10	male_mid	4	28662009	110	1	2
2876.2491	10	female_mid	7	28762491	6	1	2
2886.3187	10	female_high	8	28863187	83	1	2
2896.3883	10	female_low	6	28963883	21	1	2
2906.4792	10	male_low	3	29064792	44	1	2
2916.5488	10	male_high	5	29165488	62	1	2
2926.6184	10	male_low	3	29266184	76	1	2
2936.688	10	female_low	6	29366880	104	1	2
2946.7576	10	female_mid	7	29467576	76	1	2
2956.8272	10	male_mid	4	29568272	62	1	2
2966.8968	10	female_high	8	29668968	103	1	2
2976.9663	10	male_low	3	29769663	109	1	2
2987.0573	10	male_high	5	29870573	86	1	2
2997.1269	10	female_high	8	29971269	12	1	2
3007.1751	10	female_low	6	30071751	66	1	2
3017.266	10	female_mid	7	30172660	112	1	2
3027.3356	10	male_mid	4	30273356	113	1	2
3037.4052	10	female_mid	7	30374052	115	1	2
3047.4748	10	female_low	6	30474748	92	1	2
3057.5444	10	male_high	5	30575444	103	1	2
3067.614	10	male_mid	4	30676140	96	1	2
3077.6836	10	male_low	3	30776836	43	1	2
3087.7745	10	female_high	8	30877745	89	1	2
3097.8227	10	female_mid	7	30978227	87	1	2
3107.8923	10	female_high	8	31078923	60	1	2
3117.9832	10	male_high	5	31179832	109	1	2
3128.0315	10	male_low	3	31280315	67	1	2
3138.1011	10	female_low	6	31381011	4	1	2
3148.1707	10	male_mid	4	31481707	19	1	2
3158.2402	10	male_high	5	31582402	94	1	2
3168.3312	10	male_low	3	31683312	23	1	2
3178.4008	10	female_low	6	31784008	8	1	2
3188.449	10	female_high	8	31884490	33	1	2
3198.5399	10	male_mid	4	31985399	7	1	2
3208.6095	10	female_mid	7	32086095	99	1	2
3218.6791	10	male_mid	4	32186791	35	1	2
3228.7487	10	male_low	3	32287487	118	1	2
3238.8183	10	female_high	8	32388183	27	1	2
3248.8879	10	female_mid	7	32488879	96	1	2
3258.9788	10	female_low	6	32589788	29	1	2
3269.0484	10	male_high	5	32690484	112	1	2
3279.118	10	female_mid	7	32791180	116	1	2
3289.1876	10	male_low	3	32891876	77	1	2
3299.2785	10	female_high	8	32992785	29	1	2
3309.3481	10	female_low	6	33093481	106	1	2
3319.4176	10	male_mid	4	33194176	37	1	2
3329.4872	10	male_high	5	33294872	6	1	2
3339.5568	10	male_mid	4	33395568	105	1	2
3349.6264	10	female_high	8	33496264	96	1	2
3359.7173	10	female_low	6	33597173	48	1	2
3369.7869	10	male_high	5	33697869	34	1	2
3379.8565	10	female_mid	7	33798565	119	1	2
3389.9474	10	male_low	3	33899474	11	1	2
3400.017	10	male_high	5	34000170	49	1	2
3410.0866	10	female_low	6	34100866	87	1	2
3420.1562	10	female_mid	7	34201562	66	1	2
3430.2471	10	male_low	3	34302471	5	1	2
3440.3167	10	female_high	8	34403167	6	1	2
3450.3863	10	male_mid	4	34503863	50	1	2
3460.4559	10	female_low	6	34604559	79	1	2
3470.5255	10	male_high	5	34705255	39	1	2
3480.595	10	female_mid	7	34805950	74	1	2
3490.6646	10	female_high	8	34906646	71	1	2
3500.7342	10	male_mid	4	35007342	63	1	2
3510.8251	10	male_low	3	35108251	35	1	2
3520.8947	10	female_mid	7	35208947	0	1	2
3530.9643	10	male_mid	4	35309643	103	1	2
3541.0339	10	female_high	8	35410339	34	1	2
3551.1035	10	female_low	6	35511035	1	1	2
3561.1731	10	male_high	5	35611731	13	1	2
3571.264	10	male_low	3	35712640	21	1	2
3581.3336	10	female_mid	7	35813336	43	1	2
3591.4032	10	male_mid	4	35914032	85	1	2
3601.4727	10	female_low	6	36014727	61	1	2
3611.5423	10	male_low	3	36115423	111	1	2
3621.6119	10	male_high	5	36216119	38	1	2
3631.6815	10	female_high	8	36316815	14	1	2
3641.7511	10	female_mid	7	36417511	51	1	2
3651.8207	10	female_low	6	36518207	32	1	2
3661.8903	10	male_low	3	36618903	92	1	2
3671.9599	10	male_high	5	36719599	43	1	2
3682.0508	10	male_mid	4	36820508	108	1	2
3692.1204	10	female_high	8	36921204	118	1	2
3702.19	10	male_high	5	37021900	66	1	2
3712.2595	10	female_low	6	37122595	78	1	2
3722.3291	10	male_low	3	37223291	102	1	2
3732.3987	10	female_high	8	37323987	95	1	2
3742.4683	10	female_mid	7	37424683	18	1	2
3752.5379	10	male_mid	4	37525379	99	1	2
3762.6075	10	female_mid	7	37626075	4	1	2
3772.6984	10	female_high	8	37726984	104	1	2
3782.768	10	female_low	6	37827680	84	1	2
3792.8376	10	male_mid	4	37928376	116	1	2
3802.9072	10	male_low	3	38029072	72	1	2
3812.9767	10	male_high	5	38129767	44	1	2
3823.0463	10	female_mid	7	38230463	89	1	2
3833.1159	10	male_mid	4	38331159	78	1	2
3843.2068	10	male_high	5	38432068	78	1	2
3853.2764	10	female_low	6	38532764	64	1	2
3863.346	10	male_low	3	38633460	75	1	2
3873.4156	10	female_high	8	38734156	31	1	2
3883.5065	10	male_mid	4	38835065	86	1	2
3893.5548	10	female_high	8	38935548	44	1	2
3903.6244	10	male_low	3	39036244	60	1	2
3913.7153	10	female_low	6	39137153	71	1	2
3923.7849	10	female_mid	7	39237849	17	1	2
3933.8544	10	male_high	5	39338544	84	1	2
3943.924	10	female_high	8	39439240	50	1	2
3954.015	10	female_low	6	39540150	94	1	2
3964.0845	10	male_high	5	39640845	35	1	2
3974.1541	10	female_mid	7	39741541	47	1	2
3984.2237	10	male_mid	4	39842237	76	1	2
3994.2933	10	male_low	3	39942933	105	1	2
4004.3629	10	male_high	5	40043629	4	1	2
4014.4325	10	male_mid	4	40144325	61	1	2
4024.5021	10	male_low	3	40245021	6	1	2
4034.593	10	female_low	6	40345930	30	1	2
4044.6626	10	female_mid	7	40446626	29	1	2
4054.7322	10	female_high	8	40547322	0	1	2
4064.8017	10	male_mid	4	40648017	13	1	2
4074.8713	10	female_low	6	40748713	63	1	2
4084.9409	10	female_mid	7	40849409	117	1	2
4095.0105	10	male_low	3	40950105	62	1	2
4105.0801	10	female_high	8	41050801	86	1	2
