onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
210.3099	10	clicks_mid	1	2103099	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
220.3795	10	clicks_low	0	2203795	0	1	2	clicks_low/clicks_low_000_regress.hdf5
230.4491	10	clicks_high	2	2304491	0	1	2	clicks_high/clicks_high_000_regress.hdf5
240.5187	10	clicks_low	0	2405187	1	1	2	clicks_low/clicks_low_001_regress.hdf5
250.567	10	clicks_mid	1	2505670	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
260.6366	10	clicks_high	2	2606366	1	1	2	clicks_high/clicks_high_001_regress.hdf5
270.7062	10	clicks_mid	1	2707062	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
280.7757	10	clicks_low	0	2807757	2	1	2	clicks_low/clicks_low_002_regress.hdf5
290.8453	10	clicks_high	2	2908453	2	1	2	clicks_high/clicks_high_002_regress.hdf5
300.8936	10	clicks_high	2	3008936	3	1	2	clicks_high/clicks_high_003_regress.hdf5
310.9632	10	clicks_low	0	3109632	3	1	2	clicks_low/clicks_low_003_regress.hdf5
321.0328	10	clicks_mid	1	3210328	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
331.081	10	clicks_high	2	3310810	4	1	2	clicks_high/clicks_high_004_regress.hdf5
341.1506	10	clicks_low	0	3411506	4	1	2	clicks_low/clicks_low_004_regress.hdf5
351.2202	10	clicks_mid	1	3512202	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
361.2685	10	clicks_mid	1	3612685	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
371.3381	10	clicks_low	0	3713381	5	1	2	clicks_low/clicks_low_005_regress.hdf5
381.4077	10	clicks_high	2	3814077	5	1	2	clicks_high/clicks_high_005_regress.hdf5
391.4773	10	clicks_mid	1	3914773	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
401.5469	10	clicks_high	2	4015469	6	1	2	clicks_high/clicks_high_006_regress.hdf5
411.6165	10	clicks_low	0	4116165	6	1	2	clicks_low/clicks_low_006_regress.hdf5
421.686	10	clicks_mid	1	4216860	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
431.7343	10	clicks_low	0	4317343	7	1	2	clicks_low/clicks_low_007_regress.hdf5
441.8039	10	clicks_high	2	4418039	7	1	2	clicks_high/clicks_high_007_regress.hdf5
451.8735	10	clicks_mid	1	4518735	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
461.9218	10	clicks_low	0	4619218	8	1	2	clicks_low/clicks_low_008_regress.hdf5
471.9913	10	clicks_high	2	4719913	8	1	2	clicks_high/clicks_high_008_regress.hdf5
482.0609	10	clicks_low	0	4820609	9	1	2	clicks_low/clicks_low_009_regress.hdf5
492.1305	10	clicks_mid	1	4921305	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
502.2001	10	clicks_high	2	5022001	9	1	2	clicks_high/clicks_high_009_regress.hdf5
512.2697	10	clicks_low	0	5122697	10	1	2	clicks_low/clicks_low_010_regress.hdf5
522.3393	10	clicks_mid	1	5223393	10	1	2	clicks_mid/clicks_mid_010_regress.hdf5
532.4089	10	clicks_high	2	5324089	10	1	2	clicks_high/clicks_high_010_regress.hdf5
