onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end
100.1255	10	clicks_low	0	1001255	0	1	2
110.1951	10	clicks_high	2	1101951	0	1	2
120.2433	10	clicks_mid	1	1202433	0	1	2
130.3129	10	clicks_low	0	1303129	1	1	2
140.3825	10	clicks_high	2	1403825	1	1	2
150.4521	10	clicks_mid	1	1504521	1	1	2
160.5217	10	clicks_high	2	1605217	2	1	2
170.5913	10	clicks_mid	1	1705913	2	1	2
180.6609	10	clicks_low	0	1806609	2	1	2
190.7305	10	clicks_mid	1	1907305	3	1	2
200.8001	10	clicks_low	0	2008001	3	1	2
210.8697	10	clicks_high	2	2108697	3	1	2
220.9393	10	clicks_low	0	2209393	4	1	2
231.0089	10	clicks_high	2	2310089	4	1	2
241.0785	10	clicks_mid	1	2410785	4	1	2
251.1267	10	clicks_high	2	2511267	5	1	2
261.1963	10	clicks_mid	1	2611963	5	1	2
271.2659	10	clicks_low	0	2712659	5	1	2
281.3568	10	clicks_low	0	2813568	6	1	2
291.4051	10	clicks_high	2	2914051	6	1	2
301.4747	10	clicks_mid	1	3014747	6	1	2
311.5443	10	clicks_high	2	3115443	7	1	2
321.6139	10	clicks_low	0	3216139	7	1	2
331.6835	10	clicks_mid	1	3316835	7	1	2
341.7531	10	clicks_mid	1	3417531	8	1	2
351.8013	10	clicks_high	2	3518013	8	1	2
361.8709	10	clicks_low	0	3618709	8	1	2
371.9405	10	clicks_high	2	3719405	9	1	2
382.0101	10	clicks_low	0	3820101	9	1	2
392.0797	10	clicks_mid	1	3920797	9	1	2
402.1493	10	clicks_low	0	4021493	10	1	2
412.2189	10	clicks_high	2	4122189	10	1	2
422.2885	10	clicks_mid	1	4222885	10	1	2
432.3581	10	clicks_low	0	4323581	11	1	2
442.4277	10	clicks_high	2	4424277	11	1	2
452.4973	10	clicks_mid	1	4524973	11	1	2
462.5455	10	clicks_high	2	4625455	12	1	2
472.6151	10	clicks_low	0	4726151	12	1	2
482.6847	10	clicks_mid	1	4826847	12	1	2
492.7543	10	clicks_high	2	4927543	13	1	2
502.8239	10	clicks_low	0	5028239	13	1	2
512.8935	10	clicks_mid	1	5128935	13	1	2
522.9844	10	clicks_low	0	5229844	14	1	2
533.054	10	clicks_high	2	5330540	14	1	2
543.1236	10	clicks_mid	1	5431236	14	1	2
553.1932	10	clicks_high	2	5531932	15	1	2
563.2414	10	clicks_low	0	5632414	15	1	2
573.311	10	clicks_mid	1	5733110	15	1	2
583.3806	10	clicks_high	2	5833806	16	1	2
593.4502	10	clicks_low	0	5934502	16	1	2
603.5198	10	clicks_mid	1	6035198	16	1	2
613.5894	10	clicks_high	2	6135894	17	1	2
623.659	10	clicks_mid	1	6236590	17	1	2
633.7286	10	clicks_low	0	6337286	17	1	2
643.7982	10	clicks_mid	1	6437982	18	1	2
653.8678	10	clicks_high	2	6538678	18	1	2
663.9374	10	clicks_low	0	6639374	18	1	2
673.9856	10	clicks_mid	1	6739856	19	1	2
684.0552	10	clicks_high	2	6840552	19	1	2
694.1248	10	clicks_low	0	6941248	19	1	2
704.1944	10	clicks_low	0	7041944	20	1	2
714.264	10	clicks_mid	1	7142640	20	1	2
724.3336	10	clicks_high	2	7243336	20	1	2
734.4032	10	clicks_low	0	7344032	21	1	2
744.4941	10	clicks_mid	1	7444941	21	1	2
754.5637	10	clicks_high	2	7545637	21	1	2
764.6333	10	clicks_high	2	7646333	22	1	2
774.7029	10	clicks_low	0	7747029	22	1	2
784.7725	10	clicks_mid	1	7847725	22	1	2
794.8421	10	clicks_low	0	7948421	23	1	2
804.9117	10	clicks_high	2	8049117	23	1	2
814.9813	10	clicks_mid	1	8149813	23	1	2
825.0509	10	clicks_high	2	8250509	24	1	2
835.1204	10	clicks_low	0	8351204	24	1	2
845.19	10	clicks_mid	1	8451900	24	1	2
855.2596	10	clicks_mid	1	8552596	25	1	2
865.3292	10	clicks_high	2	8653292	25	1	2
875.3988	10	clicks_low	0	8753988	25	1	2
885.4471	10	clicks_high	2	8854471	26	1	2
895.5167	10	clicks_low	0	8955167	26	1	2
905.5863	10	clicks_mid	1	9055863	26	1	2
915.6558	10	clicks_low	0	9156558	27	1	2
925.7254	10	clicks_high	2	9257254	27	1	2
935.795	10	clicks_mid	1	9357950	27	1	2
945.8646	10	clicks_low	0	9458646	28	1	2
955.9342	10	clicks_high	2	9559342	28	1	2
966.0038	10	clicks_mid	1	9660038	28	1	2
976.0734	10	clicks_high	2	9760734	29	1	2
986.143	10	clicks_low	0	9861430	29	1	2
996.2126	10	clicks_mid	1	9962126	29	1	2
1016.7358	10	female_mid	7	10167358	9	1	2
1026.8054	10	male_high	5	10268054	65	1	2
1036.875	10	female_low	6	10368750	1	1	2
1046.9445	10	female_high	8	10469445	34	1	2
1057.0141	10	male_mid	4	10570141	18	1	2
1067.0837	10	male_low	3	10670837	96	1	2
1077.1533	10	male_low	3	10771533	116	1	2
1087.2229	10	male_high	5	10872229	25	1	2
1097.2925	10	male_mid	4	10972925	85	1	2
1107.3621	10	female_low	6	11073621	76	1	2
1117.4317	10	female_mid	7	11174317	22	1	2
1127.5013	10	female_high	8	11275013	85	1	2
1137.5709	10	male_low	3	11375709	14	1	2
1147.6405	10	female_high	8	11476405	69	1	2
1157.71	10	female_low	6	11577100	30	1	2
1167.801	10	male_mid	4	11678010	47	1	2
1177.8706	10	female_mid	7	11778706	99	1	2
1187.9402	10	male_high	5	11879402	43	1	2
1198.0097	10	male_mid	4	11980097	108	1	2
1208.0793	10	female_mid	7	12080793	109	1	2
1218.1489	10	female_low	6	12181489	46	1	2
1228.2185	10	male_high	5	12282185	92	1	2
1238.2881	10	female_high	8	12382881	58	1	2
1248.3577	10	male_low	3	12483577	50	1	2
1258.4273	10	male_high	5	12584273	9	1	2
1268.4969	10	male_low	3	12684969	83	1	2
1278.5665	10	female_mid	7	12785665	118	1	2
1288.6574	10	female_low	6	12886574	60	1	2
1298.727	10	male_mid	4	12987270	39	1	2
1308.7966	10	female_high	8	13087966	31	1	2
1318.8662	10	male_mid	4	13188662	65	1	2
1328.9358	10	male_low	3	13289358	37	1	2
1339.0053	10	female_low	6	13390053	42	1	2
1349.0749	10	female_high	8	13490749	45	1	2
1359.1445	10	female_mid	7	13591445	40	1	2
1369.2141	10	male_high	5	13692141	40	1	2
1379.2837	10	female_mid	7	13792837	115	1	2
1389.3533	10	male_low	3	13893533	44	1	2
1399.4229	10	male_high	5	13994229	20	1	2
1409.4925	10	female_low	6	14094925	118	1	2
1419.5621	10	female_high	8	14195621	19	1	2
1429.6317	10	male_mid	4	14296317	38	1	2
1439.7012	10	male_mid	4	14397012	105	1	2
1449.7708	10	female_high	8	14497708	21	1	2
1459.8404	10	female_low	6	14598404	80	1	2
1469.91	10	female_mid	7	14699100	4	1	2
1479.9796	10	male_low	3	14799796	51	1	2
1490.0492	10	male_high	5	14900492	39	1	2
1500.1188	10	female_high	8	15001188	17	1	2
1510.1884	10	female_mid	7	15101884	19	1	2
1520.258	10	female_low	6	15202580	100	1	2
1530.3276	10	male_low	3	15303276	13	1	2
1540.3972	10	male_high	5	15403972	88	1	2
1550.4667	10	male_mid	4	15504667	114	1	2
1560.5363	10	female_mid	7	15605363	36	1	2
1570.6059	10	female_low	6	15706059	39	1	2
1580.6755	10	female_high	8	15806755	61	1	2
1590.7664	10	male_low	3	15907664	40	1	2
1600.836	10	male_high	5	16008360	61	1	2
1610.9056	10	male_mid	4	16109056	110	1	2
1620.9752	10	male_low	3	16209752	22	1	2
1631.0448	10	male_mid	4	16310448	60	1	2
