onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
151.6906	10	clicks_low	0	1516906	0	1	2	clicks_low/clicks_low_000_regress.hdf5
161.7602	10	clicks_high	2	1617602	0	1	2	clicks_high/clicks_high_000_regress.hdf5
171.8511	10	clicks_mid	1	1718511	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
181.8993	10	clicks_high	2	1818993	1	1	2	clicks_high/clicks_high_001_regress.hdf5
191.9689	10	clicks_low	0	1919689	1	1	2	clicks_low/clicks_low_001_regress.hdf5
202.0385	10	clicks_mid	1	2020385	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
212.1295	10	clicks_high	2	2121295	2	1	2	clicks_high/clicks_high_002_regress.hdf5
222.199	10	clicks_low	0	2221990	2	1	2	clicks_low/clicks_low_002_regress.hdf5
232.2473	10	clicks_mid	1	2322473	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
242.3169	10	clicks_low	0	2423169	3	1	2	clicks_low/clicks_low_003_regress.hdf5
252.3865	10	clicks_mid	1	2523865	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
262.4561	10	clicks_high	2	2624561	3	1	2	clicks_high/clicks_high_003_regress.hdf5
272.5257	10	clicks_high	2	2725257	4	1	2	clicks_high/clicks_high_004_regress.hdf5
282.5953	10	clicks_mid	1	2825953	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
292.6649	10	clicks_low	0	2926649	4	1	2	clicks_low/clicks_low_004_regress.hdf5
302.7345	10	clicks_high	2	3027345	5	1	2	clicks_high/clicks_high_005_regress.hdf5
312.7827	10	clicks_mid	1	3127827	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
322.8523	10	clicks_low	0	3228523	5	1	2	clicks_low/clicks_low_005_regress.hdf5
332.9219	10	clicks_mid	1	3329219	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
342.9915	10	clicks_high	2	3429915	6	1	2	clicks_high/clicks_high_006_regress.hdf5
353.0611	10	clicks_low	0	3530611	6	1	2	clicks_low/clicks_low_006_regress.hdf5
363.1307	10	clicks_low	0	3631307	7	1	2	clicks_low/clicks_low_007_regress.hdf5
373.2003	10	clicks_high	2	3732003	7	1	2	clicks_high/clicks_high_007_regress.hdf5
383.2699	10	clicks_mid	1	3832699	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
393.3394	10	clicks_mid	1	3933394	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
403.409	10	clicks_high	2	4034090	8	1	2	clicks_high/clicks_high_008_regress.hdf5
413.4573	10	clicks_low	0	4134573	8	1	2	clicks_low/clicks_low_008_regress.hdf5
