onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
119.7602	10	clicks_high	2	1197602	0	1	2	clicks_high/clicks_high_000_regress.hdf5
129.8298	10	clicks_low	0	1298298	0	1	2	clicks_low/clicks_low_000_regress.hdf5
139.8993	10	clicks_mid	1	1398993	0	1	2	clicks_mid/clicks_mid_000_regress.hdf5
149.9689	10	clicks_mid	1	1499689	1	1	2	clicks_mid/clicks_mid_001_regress.hdf5
160.0385	10	clicks_high	2	1600385	1	1	2	clicks_high/clicks_high_001_regress.hdf5
170.1081	10	clicks_low	0	1701081	1	1	2	clicks_low/clicks_low_001_regress.hdf5
180.1777	10	clicks_high	2	1801777	2	1	2	clicks_high/clicks_high_002_regress.hdf5
190.2473	10	clicks_low	0	1902473	2	1	2	clicks_low/clicks_low_002_regress.hdf5
200.3169	10	clicks_mid	1	2003169	2	1	2	clicks_mid/clicks_mid_002_regress.hdf5
210.3652	10	clicks_mid	1	2103652	3	1	2	clicks_mid/clicks_mid_003_regress.hdf5
220.4347	10	clicks_low	0	2204347	3	1	2	clicks_low/clicks_low_003_regress.hdf5
230.5257	10	clicks_high	2	2305257	3	1	2	clicks_high/clicks_high_003_regress.hdf5
240.5953	10	clicks_low	0	2405953	4	1	2	clicks_low/clicks_low_004_regress.hdf5
250.6435	10	clicks_high	2	2506435	4	1	2	clicks_high/clicks_high_004_regress.hdf5
260.7131	10	clicks_mid	1	2607131	4	1	2	clicks_mid/clicks_mid_004_regress.hdf5
270.7827	10	clicks_low	0	2707827	5	1	2	clicks_low/clicks_low_005_regress.hdf5
280.8523	10	clicks_high	2	2808523	5	1	2	clicks_high/clicks_high_005_regress.hdf5
290.9219	10	clicks_mid	1	2909219	5	1	2	clicks_mid/clicks_mid_005_regress.hdf5
300.9915	10	clicks_mid	1	3009915	6	1	2	clicks_mid/clicks_mid_006_regress.hdf5
311.0611	10	clicks_low	0	3110611	6	1	2	clicks_low/clicks_low_006_regress.hdf5
321.1093	10	clicks_high	2	3211093	6	1	2	clicks_high/clicks_high_006_regress.hdf5
331.1789	10	clicks_high	2	3311789	7	1	2	clicks_high/clicks_high_007_regress.hdf5
341.2485	10	clicks_mid	1	3412485	7	1	2	clicks_mid/clicks_mid_007_regress.hdf5
351.3181	10	clicks_low	0	3513181	7	1	2	clicks_low/clicks_low_007_regress.hdf5
361.3877	10	clicks_mid	1	3613877	8	1	2	clicks_mid/clicks_mid_008_regress.hdf5
371.4573	10	clicks_low	0	3714573	8	1	2	clicks_low/clicks_low_008_regress.hdf5
381.5269	10	clicks_high	2	3815269	8	1	2	clicks_high/clicks_high_008_regress.hdf5
391.5965	10	clicks_low	0	3915965	9	1	2	clicks_low/clicks_low_009_regress.hdf5
401.666	10	clicks_high	2	4016660	9	1	2	clicks_high/clicks_high_009_regress.hdf5
411.7356	10	clicks_mid	1	4117356	9	1	2	clicks_mid/clicks_mid_009_regress.hdf5
421.8052	10	clicks_low	0	4218052	10	1	2	clicks_low/clicks_low_010_regress.hdf5
431.8748	10	clicks_mid	1	4318748	10	1	2	clicks_mid/clicks_mid_010_regress.hdf5
441.9444	10	clicks_high	2	4419444	10	1	2	clicks_high/clicks_high_010_regress.hdf5
452.014	10	clicks_mid	1	4520140	11	1	2	clicks_mid/clicks_mid_011_regress.hdf5
462.0836	10	clicks_low	0	4620836	11	1	2	clicks_low/clicks_low_011_regress.hdf5
472.1318	10	clicks_high	2	4721318	11	1	2	clicks_high/clicks_high_011_regress.hdf5
482.2014	10	clicks_low	0	4822014	12	1	2	clicks_low/clicks_low_012_regress.hdf5
492.271	10	clicks_high	2	4922710	12	1	2	clicks_high/clicks_high_012_regress.hdf5
502.3406	10	clicks_mid	1	5023406	12	1	2	clicks_mid/clicks_mid_012_regress.hdf5
512.4102	10	clicks_low	0	5124102	13	1	2	clicks_low/clicks_low_013_regress.hdf5
522.4798	10	clicks_high	2	5224798	13	1	2	clicks_high/clicks_high_013_regress.hdf5
532.5494	10	clicks_mid	1	5325494	13	1	2	clicks_mid/clicks_mid_013_regress.hdf5
542.5976	10	clicks_mid	1	5425976	14	1	2	clicks_mid/clicks_mid_014_regress.hdf5
552.6672	10	clicks_low	0	5526672	14	1	2	clicks_low/clicks_low_014_regress.hdf5
562.7368	10	clicks_high	2	5627368	14	1	2	clicks_high/clicks_high_014_regress.hdf5
572.8064	10	clicks_high	2	5728064	15	1	2	clicks_high/clicks_high_015_regress.hdf5
582.876	10	clicks_mid	1	5828760	15	1	2	clicks_mid/clicks_mid_015_regress.hdf5
592.9456	10	clicks_low	0	5929456	15	1	2	clicks_low/clicks_low_015_regress.hdf5
603.0152	10	clicks_mid	1	6030152	16	1	2	clicks_mid/clicks_mid_016_regress.hdf5
613.0848	10	clicks_low	0	6130848	16	1	2	clicks_low/clicks_low_016_regress.hdf5
623.133	10	clicks_high	2	6231330	16	1	2	clicks_high/clicks_high_016_regress.hdf5
633.2026	10	clicks_mid	1	6332026	17	1	2	clicks_mid/clicks_mid_017_regress.hdf5
643.2722	10	clicks_low	0	6432722	17	1	2	clicks_low/clicks_low_017_regress.hdf5
653.3418	10	clicks_high	2	6533418	17	1	2	clicks_high/clicks_high_017_regress.hdf5
663.39	10	clicks_high	2	6633900	18	1	2	clicks_high/clicks_high_018_regress.hdf5
673.4596	10	clicks_mid	1	6734596	18	1	2	clicks_mid/clicks_mid_018_regress.hdf5
683.5292	10	clicks_low	0	6835292	18	1	2	clicks_low/clicks_low_018_regress.hdf5
693.5988	10	clicks_low	0	6935988	19	1	2	clicks_low/clicks_low_019_regress.hdf5
703.6471	10	clicks_mid	1	7036471	19	1	2	clicks_mid/clicks_mid_019_regress.hdf5
713.7167	10	clicks_high	2	7137167	19	1	2	clicks_high/clicks_high_019_regress.hdf5
723.7862	10	clicks_high	2	7237862	20	1	2	clicks_high/clicks_high_020_regress.hdf5
733.8558	10	clicks_mid	1	7338558	20	1	2	clicks_mid/clicks_mid_020_regress.hdf5
743.9254	10	clicks_low	0	7439254	20	1	2	clicks_low/clicks_low_020_regress.hdf5
753.995	10	clicks_mid	1	7539950	21	1	2	clicks_mid/clicks_mid_021_regress.hdf5
764.0646	10	clicks_high	2	7640646	21	1	2	clicks_high/clicks_high_021_regress.hdf5
774.1342	10	clicks_low	0	7741342	21	1	2	clicks_low/clicks_low_021_regress.hdf5
784.2038	10	clicks_high	2	7842038	22	1	2	clicks_high/clicks_high_022_regress.hdf5
794.2734	10	clicks_low	0	7942734	22	1	2	clicks_low/clicks_low_022_regress.hdf5
804.343	10	clicks_mid	1	8043430	22	1	2	clicks_mid/clicks_mid_022_regress.hdf5
814.4125	10	clicks_low	0	8144125	23	1	2	clicks_low/clicks_low_023_regress.hdf5
824.4821	10	clicks_mid	1	8244821	23	1	2	clicks_mid/clicks_mid_023_regress.hdf5
834.5517	10	clicks_high	2	8345517	23	1	2	clicks_high/clicks_high_023_regress.hdf5
844.6213	10	clicks_mid	1	8446213	24	1	2	clicks_mid/clicks_mid_024_regress.hdf5
854.6909	10	clicks_high	2	8546909	24	1	2	clicks_high/clicks_high_024_regress.hdf5
864.7605	10	clicks_low	0	8647605	24	1	2	clicks_low/clicks_low_024_regress.hdf5
874.8301	10	clicks_low	0	8748301	25	1	2	clicks_low/clicks_low_025_regress.hdf5
884.8997	10	clicks_mid	1	8848997	25	1	2	clicks_mid/clicks_mid_025_regress.hdf5
894.9693	10	clicks_high	2	8949693	25	1	2	clicks_high/clicks_high_025_regress.hdf5
905.0388	10	clicks_high	2	9050388	26	1	2	clicks_high/clicks_high_026_regress.hdf5
915.1084	10	clicks_low	0	9151084	26	1	2	clicks_low/clicks_low_026_regress.hdf5
925.1567	10	clicks_mid	1	9251567	26	1	2	clicks_mid/clicks_mid_026_regress.hdf5
935.2263	10	clicks_high	2	9352263	27	1	2	clicks_high/clicks_high_027_regress.hdf5
945.2959	10	clicks_mid	1	9452959	27	1	2	clicks_mid/clicks_mid_027_regress.hdf5
955.3655	10	clicks_low	0	9553655	27	1	2	clicks_low/clicks_low_027_regress.hdf5
965.435	10	clicks_low	0	9654350	28	1	2	clicks_low/clicks_low_028_regress.hdf5
975.5046	10	clicks_high	2	9755046	28	1	2	clicks_high/clicks_high_028_regress.hdf5
985.5742	10	clicks_mid	1	9855742	28	1	2	clicks_mid/clicks_mid_028_regress.hdf5
995.6438	10	clicks_high	2	9956438	29	1	2	clicks_high/clicks_high_029_regress.hdf5
1005.7134	10	clicks_mid	1	10057134	29	1	2	clicks_mid/clicks_mid_029_regress.hdf5
1015.783	10	clicks_low	0	10157830	29	1	2	clicks_low/clicks_low_029_regress.hdf5
1034.8555	10	male_high	5	10348555	48	1	2	male_high/male_high_048_regress.hdf5
1044.9251	10	female_low	6	10449251	38	1	2	female_low/female_low_038_regress.hdf5
1054.9947	10	female_high	8	10549947	0	1	2	female_high/female_high_000_regress.hdf5
1065.0429	10	male_low	3	10650429	102	1	2	male_low/male_low_102_regress.hdf5
1075.1125	10	female_mid	7	10751125	102	1	2	female_mid/female_mid_102_regress.hdf5
1085.2034	10	male_mid	4	10852034	6	1	2	male_mid/male_mid_006_regress.hdf5
1095.2517	10	male_high	5	10952517	62	1	2	male_high/male_high_062_regress.hdf5
1105.3213	10	male_mid	4	11053213	102	1	2	male_mid/male_mid_102_regress.hdf5
1115.4122	10	male_low	3	11154122	111	1	2	male_low/male_low_111_regress.hdf5
1125.4604	10	female_mid	7	11254604	51	1	2	female_mid/female_mid_051_regress.hdf5
1135.53	10	female_high	8	11355300	30	1	2	female_high/female_high_030_regress.hdf5
1145.5996	10	female_low	6	11455996	116	1	2	female_low/female_low_116_regress.hdf5
1155.6692	10	male_low	3	11556692	40	1	2	male_low/male_low_040_regress.hdf5
1165.7388	10	male_high	5	11657388	112	1	2	male_high/male_high_112_regress.hdf5
1175.8084	10	female_low	6	11758084	22	1	2	female_low/female_low_022_regress.hdf5
1185.878	10	male_mid	4	11858780	106	1	2	male_mid/male_mid_106_regress.hdf5
1195.9476	10	female_high	8	11959476	31	1	2	female_high/female_high_031_regress.hdf5
1206.0171	10	female_mid	7	12060171	106	1	2	female_mid/female_mid_106_regress.hdf5
1216.0867	10	male_low	3	12160867	12	1	2	male_low/male_low_012_regress.hdf5
1226.1563	10	female_high	8	12261563	92	1	2	female_high/female_high_092_regress.hdf5
1236.2046	10	female_mid	7	12362046	17	1	2	female_mid/female_mid_017_regress.hdf5
1246.2742	10	male_mid	4	12462742	29	1	2	male_mid/male_mid_029_regress.hdf5
1256.3438	10	female_low	6	12563438	61	1	2	female_low/female_low_061_regress.hdf5
1266.4133	10	male_high	5	12664133	20	1	2	male_high/male_high_020_regress.hdf5
1276.4829	10	female_low	6	12764829	88	1	2	female_low/female_low_088_regress.hdf5
1286.5525	10	male_low	3	12865525	8	1	2	male_low/male_low_008_regress.hdf5
1296.6221	10	female_mid	7	12966221	26	1	2	female_mid/female_mid_026_regress.hdf5
1306.6917	10	female_high	8	13066917	1	1	2	female_high/female_high_001_regress.hdf5
1316.7613	10	male_mid	4	13167613	115	1	2	male_mid/male_mid_115_regress.hdf5
1326.8309	10	male_high	5	13268309	61	1	2	male_high/male_high_061_regress.hdf5
1336.9005	10	female_mid	7	13369005	63	1	2	female_mid/female_mid_063_regress.hdf5
1346.97	10	male_low	3	13469700	84	1	2	male_low/male_low_084_regress.hdf5
1357.0396	10	male_high	5	13570396	55	1	2	male_high/male_high_055_regress.hdf5
1367.1092	10	female_low	6	13671092	67	1	2	female_low/female_low_067_regress.hdf5
1377.1788	10	female_high	8	13771788	117	1	2	female_high/female_high_117_regress.hdf5
1387.2484	10	male_mid	4	13872484	31	1	2	male_mid/male_mid_031_regress.hdf5
1397.318	10	male_low	3	13973180	103	1	2	male_low/male_low_103_regress.hdf5
1407.3876	10	male_mid	4	14073876	50	1	2	male_mid/male_mid_050_regress.hdf5
1417.4572	10	female_mid	7	14174572	110	1	2	female_mid/female_mid_110_regress.hdf5
1427.5268	10	male_high	5	14275268	11	1	2	male_high/male_high_011_regress.hdf5
1437.5963	10	female_low	6	14375963	6	1	2	female_low/female_low_006_regress.hdf5
1447.6659	10	female_high	8	14476659	74	1	2	female_high/female_high_074_regress.hdf5
1457.7355	10	male_low	3	14577355	94	1	2	male_low/male_low_094_regress.hdf5
1467.8051	10	male_mid	4	14678051	85	1	2	male_mid/male_mid_085_regress.hdf5
